
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:33:13.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3         BODY1RY         BODY1PZ
       (s)             (N)             (N)             (N)           (deg)             (m)
    5.9000   5.4441116E+03   2.5604352E+03   2.5604352E+03  -2.6758948E-01  -4.6568691E+00
    6.0000   3.9979906E+03   1.8255889E+03   1.8255889E+03  -2.8596618E-01  -4.5285482E+00
    6.1000   2.6563688E+03   1.0968374E+03   1.0968374E+03  -3.0448989E-01  -4.4397564E+00
    6.2000   1.5020210E+03   4.6683499E+02   4.6683499E+02  -3.2316304E-01  -4.3909367E+00
    6.3000   6.0175690E+02   9.7181707E+01   9.7181707E+01  -3.4200575E-01  -4.3823453E+00
    6.4000   1.3810900E+02   3.3116115E+02   3.3116115E+02  -3.6105556E-01  -4.4140173E+00
    6.5000   4.8641592E+02   6.9430752E+02   6.9430752E+02  -3.8036679E-01  -4.4855329E+00
    6.6000   1.0960830E+03   1.0852295E+03   1.0852295E+03  -4.0000783E-01  -4.5958280E+00
    6.7000   1.8267044E+03   1.4291412E+03   1.4291412E+03  -4.2005468E-01  -4.7432005E+00
    6.8000   2.5342270E+03   1.7077186E+03   1.7077186E+03  -4.4058361E-01  -4.9253752E+00
    6.9000   3.0609213E+03   1.8826729E+03   1.8826729E+03  -4.6166506E-01  -5.1396016E+00
    7.0000   3.2977092E+03   1.9391817E+03   1.9391817E+03  -4.8335982E-01  -5.3827636E+00
    7.1000   3.2360725E+03   1.9145950E+03   1.9145950E+03  -5.0571775E-01  -5.6514787E+00
    7.2000   2.9601820E+03   1.9059787E+03   1.9059787E+03  -5.2877542E-01  -5.9421928E+00
    7.3000   2.6124421E+03   1.9687073E+03   1.9687073E+03  -5.5255174E-01  -6.2512706E+00
    7.4000   2.3468859E+03   2.1006562E+03   2.1006562E+03  -5.7704560E-01  -6.5750599E+00
    7.5000   2.2519021E+03   2.2416709E+03   2.2416709E+03  -6.0223563E-01  -6.9099299E+00
    7.6000   2.2856329E+03   2.3286943E+03   2.3286943E+03  -6.2808171E-01  -7.2522920E+00
    7.7000   2.3409093E+03   2.3539360E+03   2.3539360E+03  -6.5452861E-01  -7.5986097E+00
    7.8000   2.3408693E+03   2.3489795E+03   2.3489795E+03  -6.8151126E-01  -7.9454081E+00
    7.9000   2.2771466E+03   2.3824147E+03   2.3824147E+03  -7.0895975E-01  -8.2892881E+00
    8.0000   2.1734325E+03   2.5239549E+03   2.5239549E+03  -7.3680424E-01  -8.6269481E+00
    8.1000   2.0627458E+03   2.7795180E+03   2.7795180E+03  -7.6497566E-01  -8.9552089E+00
    8.2000   1.9781283E+03   3.0860443E+03   3.0860443E+03  -7.9339741E-01  -9.2710384E+00
    8.3000   1.9366518E+03   3.3571084E+03   3.3571084E+03  -8.2199800E-01  -9.5715926E+00
    8.4000   1.9305487E+03   3.5217970E+03   3.5217970E+03  -8.5071549E-01  -9.8542460E+00
    8.5000   1.9345997E+03   3.5415842E+03   3.5415842E+03  -8.7949608E-01  -1.0116606E+01
    8.6000   1.9215487E+03   3.4073735E+03   3.4073735E+03  -9.0829578E-01  -1.0356531E+01
    8.7000   1.8728570E+03   3.1333736E+03   3.1333736E+03  -9.3708150E-01  -1.0572138E+01
    8.8000   1.7815806E+03   2.7498543E+03   2.7498543E+03  -9.6583121E-01  -1.0761810E+01
    8.9000   1.6508724E+03   2.2958311E+03   2.2958311E+03  -9.9453373E-01  -1.0924189E+01
    9.0000   1.4912274E+03   1.8126608E+03   1.8126608E+03  -1.0231884E+00  -1.1058174E+01
    9.1000   1.3162676E+03   1.3391712E+03   1.3391712E+03  -1.0518050E+00  -1.1162913E+01
    9.2000   1.1380460E+03   9.0863395E+02   9.0863395E+02  -1.0804034E+00  -1.1237795E+01
    9.3000   9.7160278E+02   5.4733730E+02   5.4733730E+02  -1.1090151E+00  -1.1282450E+01
    9.4000   8.2795044E+02   2.7701496E+02   2.7701496E+02  -1.1376835E+00  -1.1296742E+01
    9.5000   7.1968931E+02   1.6359173E+02   1.6359173E+02  -1.1664621E+00  -1.1280800E+01
    9.6000   6.5890766E+02   2.2244284E+02   2.2244284E+02  -1.1954123E+00  -1.1235101E+01
    9.7000   6.5651304E+02   3.2567285E+02   3.2567285E+02  -1.2246018E+00  -1.1160509E+01
    9.8000   7.1666354E+02   4.4003148E+02   4.4003148E+02  -1.2541023E+00  -1.1058238E+01
    9.9000   8.3539572E+02   5.6429227E+02   5.6429227E+02  -1.2839879E+00  -1.0929820E+01
   10.0000   1.0076247E+03   6.9817990E+02   6.9817990E+02  -1.3143333E+00  -1.0777061E+01
   10.1000   1.2343111E+03   8.3805234E+02   8.3805234E+02  -1.3452117E+00  -1.0601995E+01
   10.2000   1.5250718E+03   9.7812391E+02   9.7812391E+02  -1.3766940E+00  -1.0406840E+01
   10.3000   1.8971130E+03   1.1129826E+03   1.1129826E+03  -1.4088467E+00  -1.0193953E+01
   10.4000   2.3710194E+03   1.2404260E+03   1.2404260E+03  -1.4417305E+00  -9.9657906E+00
   10.5000   2.9636560E+03   1.3658529E+03   1.3658529E+03  -1.4753990E+00  -9.7248751E+00
   10.6000   3.6794339E+03   1.5177691E+03   1.5177691E+03  -1.5098968E+00  -9.4737691E+00
   10.7000   4.5024969E+03   1.7412381E+03   1.7412381E+03  -1.5452588E+00  -9.2150564E+00
   10.8000   5.3984969E+03   2.0796056E+03   2.0796056E+03  -1.5815077E+00  -8.9513328E+00
   10.9000   6.3093252E+03   2.5504823E+03   2.5504823E+03  -1.6186524E+00  -8.6852041E+00
   11.0000   7.3441496E+03   3.1312188E+03   3.1312188E+03  -1.6566860E+00  -8.4192859E+00
   11.1000   8.0652572E+03   3.7785520E+03   3.7785520E+03  -1.6955893E+00  -8.1562004E+00
   11.2000   8.5766596E+03   4.4202993E+03   4.4202993E+03  -1.7353324E+00  -7.8985592E+00
   11.3000   8.8370727E+03   5.0179411E+03   5.0179411E+03  -1.7758705E+00  -7.6489301E+00
   11.4000   1.6072556E+04   5.4398193E+03   5.4398193E+03  -1.8171465E+00  -7.4097956E+00
   11.5000   1.7102161E+04   5.6696308E+03   5.6696308E+03  -1.8590951E+00  -7.1835201E+00
