
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:53:23.

 
 
 
      Time       LINE2NBPZ       LINE2NBPX       LINE3NBPZ       LINE3NBPX
       (s)             (m)             (m)             (m)             (m)
    0.0710  -1.9992887E+01   6.5818034E-02  -2.0152803E+01   3.5101056E-01
    0.0720  -1.9992990E+01   6.2524930E-02  -2.0155035E+01   3.5213196E-01
    0.0730  -1.9993099E+01   5.9234526E-02  -2.0157269E+01   3.5325018E-01
    0.0740  -1.9993216E+01   5.5946831E-02  -2.0159506E+01   3.5436529E-01
    0.0750  -1.9993340E+01   5.2661836E-02  -2.0161745E+01   3.5547724E-01
    0.0760  -1.9993473E+01   4.9379546E-02  -2.0163990E+01   3.5658607E-01
    0.0770  -1.9993610E+01   4.6099961E-02  -2.0166239E+01   3.5769174E-01
    0.0780  -1.9993757E+01   4.2823069E-02  -2.0168489E+01   3.5879427E-01
    0.0790  -1.9993912E+01   3.9548881E-02  -2.0170744E+01   3.5989368E-01
    0.0800  -1.9994074E+01   3.6277387E-02  -2.0173002E+01   3.6098996E-01
    0.0810  -1.9994242E+01   3.3008594E-02  -2.0175264E+01   3.6208308E-01
    0.0820  -1.9994419E+01   2.9742494E-02  -2.0177530E+01   3.6317310E-01
    0.0830  -1.9994602E+01   2.6479090E-02  -2.0179800E+01   3.6425999E-01
    0.0840  -1.9994793E+01   2.3218377E-02  -2.0182074E+01   3.6534372E-01
    0.0850  -1.9994991E+01   1.9960357E-02  -2.0184349E+01   3.6642435E-01
    0.0860  -1.9995197E+01   1.6705029E-02  -2.0186628E+01   3.6750185E-01
    0.0870  -1.9995411E+01   1.3452390E-02  -2.0188913E+01   3.6857623E-01
    0.0880  -1.9995630E+01   1.0202440E-02  -2.0191200E+01   3.6964750E-01
    0.0890  -1.9995859E+01   6.9551799E-03  -2.0193491E+01   3.7071565E-01
    0.0900  -1.9996094E+01   3.7106057E-03  -2.0195784E+01   3.7178066E-01
    0.0910  -1.9996336E+01   4.6871800E-04  -2.0198082E+01   3.7284258E-01
    0.0920  -1.9996586E+01  -2.7704844E-03  -2.0200384E+01   3.7390137E-01
    0.0930  -1.9996843E+01  -6.0070022E-03  -2.0202688E+01   3.7495703E-01
    0.0940  -1.9997103E+01  -9.2406962E-03  -2.0204996E+01   3.7600961E-01
    0.0950  -1.9997358E+01  -1.2471266E-02  -2.0207310E+01   3.7705904E-01
    0.0960  -1.9997602E+01  -1.5698452E-02  -2.0209625E+01   3.7810540E-01
    0.0970  -1.9997828E+01  -1.8922007E-02  -2.0211943E+01   3.7914863E-01
    0.0980  -1.9998026E+01  -2.2141701E-02  -2.0214266E+01   3.8018876E-01
