
Predictions were generated on 12-Feb-2024 at 14:25:33 using HydroDyn Driver, compiled on Dec 20 2023 at 14:52:34 as a 64-bit application using double precision at commit v2.5.0-3665-g13e4c61c-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: Compatible with HydroDyn v4.00 - Regression test for the MacCamy-Fuchs diffraction correction for strip-theory memebers

Time	Wave1Elev	HydroFxi	HydroMyi
(s)	(m)	(N)	(N-m)
    0.0000	  -4.067737E+00	   2.250159E+07	  -2.506633E+08
    0.1000	  -3.777394E+00	   2.385692E+07	  -2.660467E+08
    0.2000	  -3.468719E+00	   2.508207E+07	  -2.801223E+08
    0.3000	  -3.143669E+00	   2.617067E+07	  -2.928295E+08
    0.4000	  -2.804338E+00	   2.711736E+07	  -3.041166E+08
    0.5000	  -2.452938E+00	   2.791780E+07	  -3.139417E+08
    0.6000	  -2.091788E+00	   2.856873E+07	  -3.222724E+08
    0.7000	  -1.723287E+00	   2.906796E+07	  -3.290865E+08
    0.8000	  -1.349901E+00	   2.941445E+07	  -3.343717E+08
    0.9000	  -9.741340E-01	   2.960825E+07	  -3.381258E+08
    1.0000	  -5.985143E-01	   2.965056E+07	  -3.403568E+08
    1.1000	  -2.255646E-01	   2.954367E+07	  -3.410824E+08
    1.2000	   1.422174E-01	   2.929099E+07	  -3.403301E+08
    1.3000	   5.023844E-01	   2.889696E+07	  -3.381368E+08
    1.4000	   8.525615E-01	   2.836705E+07	  -3.345480E+08
    1.5000	   1.190470E+00	   2.770770E+07	  -3.296182E+08
    1.6000	   1.513949E+00	   2.692625E+07	  -3.234094E+08
    1.7000	   1.820976E+00	   2.603086E+07	  -3.159911E+08
    1.8000	   2.109691E+00	   2.503047E+07	  -3.074396E+08
    1.9000	   2.378410E+00	   2.393468E+07	  -2.978368E+08
    2.0000	   2.625646E+00	   2.275367E+07	  -2.872699E+08
    2.1000	   2.850122E+00	   2.149808E+07	  -2.758304E+08
    2.2000	   3.050783E+00	   2.017896E+07	  -2.636133E+08
    2.3000	   3.226813E+00	   1.880761E+07	  -2.507160E+08
    2.4000	   3.377634E+00	   1.739549E+07	  -2.372377E+08
    2.5000	   3.502920E+00	   1.595410E+07	  -2.232784E+08
    2.6000	   3.602594E+00	   1.449491E+07	  -2.089379E+08
    2.7000	   3.676831E+00	   1.302918E+07	  -1.943148E+08
    2.8000	   3.726053E+00	   1.156790E+07	  -1.795061E+08
    2.9000	   3.750926E+00	   1.012169E+07	  -1.646058E+08
    3.0000	   3.752349E+00	   8.700653E+06	  -1.497045E+08
    3.1000	   3.731442E+00	   7.314334E+06	  -1.348883E+08
    3.2000	   3.689536E+00	   5.971594E+06	  -1.202385E+08
    3.3000	   3.628151E+00	   4.680538E+06	  -1.058305E+08
    3.4000	   3.548980E+00	   3.448456E+06	  -9.173374E+07
    3.5000	   3.453867E+00	   2.281744E+06	  -7.801064E+07
    3.6000	   3.344783E+00	   1.185859E+06	  -6.471662E+07
    3.7000	   3.223801E+00	   1.652743E+05	  -5.189952E+07
    3.8000	   3.093074E+00	  -7.765462E+05	  -3.959949E+07
    3.9000	   2.954800E+00	  -1.637175E+06	  -2.784868E+07
    4.0000	   2.811202E+00	  -2.415220E+06	  -1.667133E+07
    4.1000	   2.664493E+00	  -3.110324E+06	  -6.083641E+06
    4.2000	   2.516853E+00	  -3.723148E+06	   3.906016E+06
    4.3000	   2.370399E+00	  -4.255335E+06	   1.329694E+07
    4.4000	   2.227158E+00	  -4.709484E+06	   2.209582E+07
    4.5000	   2.089042E+00	  -5.089086E+06	   3.031640E+07
    4.6000	   1.957823E+00	  -5.398471E+06	   3.797899E+07
    4.7000	   1.835110E+00	  -5.642732E+06	   4.510998E+07
    4.8000	   1.722333E+00	  -5.827648E+06	   5.174128E+07
    4.9000	   1.620719E+00	  -5.959600E+06	   5.790966E+07
    5.0000	   1.531281E+00	  -6.045470E+06	   6.365608E+07
    5.1000	   1.454808E+00	  -6.092552E+06	   6.902498E+07
    5.2000	   1.391849E+00	  -6.108438E+06	   7.406351E+07
    5.3000	   1.342714E+00	  -6.100923E+06	   7.882077E+07
    5.4000	   1.307470E+00	  -6.077890E+06	   8.334699E+07
    5.5000	   1.285939E+00	  -6.047202E+06	   8.769278E+07
    5.6000	   1.277706E+00	  -6.016601E+06	   9.190825E+07
    5.7000	   1.282127E+00	  -5.993599E+06	   9.604238E+07
    5.8000	   1.298337E+00	  -5.985379E+06	   1.001421E+08
    5.9000	   1.325263E+00	  -5.998698E+06	   1.042518E+08
    6.0000	   1.361647E+00	  -6.039800E+06	   1.084123E+08
    6.1000	   1.406061E+00	  -6.114332E+06	   1.126606E+08
    6.2000	   1.456925E+00	  -6.227266E+06	   1.170291E+08
    6.3000	   1.512540E+00	  -6.382842E+06	   1.215451E+08
    6.4000	   1.571103E+00	  -6.584504E+06	   1.262305E+08
    6.5000	   1.630742E+00	  -6.834862E+06	   1.311011E+08
    6.6000	   1.689540E+00	  -7.135651E+06	   1.361669E+08
    6.7000	   1.745560E+00	  -7.487714E+06	   1.414312E+08
    6.8000	   1.796878E+00	  -7.890986E+06	   1.468909E+08
    6.9000	   1.841609E+00	  -8.344494E+06	   1.525366E+08
    7.0000	   1.877931E+00	  -8.846373E+06	   1.583521E+08
    7.1000	   1.904115E+00	  -9.393877E+06	   1.643150E+08
    7.2000	   1.918546E+00	  -9.983425E+06	   1.703966E+08
    7.3000	   1.919749E+00	  -1.061064E+07	   1.765624E+08
    7.4000	   1.906406E+00	  -1.127038E+07	   1.827725E+08
    7.5000	   1.877376E+00	  -1.195686E+07	   1.889816E+08
    7.6000	   1.831709E+00	  -1.266363E+07	   1.951401E+08
    7.7000	   1.768658E+00	  -1.338373E+07	   2.011940E+08
    7.8000	   1.687695E+00	  -1.410975E+07	   2.070859E+08
    7.9000	   1.588506E+00	  -1.483387E+07	   2.127557E+08
    8.0000	   1.471007E+00	  -1.554804E+07	   2.181408E+08
    8.1000	   1.335332E+00	  -1.624400E+07	   2.231775E+08
    8.2000	   1.181844E+00	  -1.691338E+07	   2.278009E+08
    8.3000	   1.011114E+00	  -1.754783E+07	   2.319463E+08
    8.4000	   8.239301E-01	  -1.813912E+07	   2.355497E+08
    8.5000	   6.212690E-01	  -1.867917E+07	   2.385484E+08
    8.6000	   4.042971E-01	  -1.916020E+07	   2.408818E+08
    8.7000	   1.743445E-01	  -1.957478E+07	   2.424920E+08
    8.8000	  -6.710324E-02	  -1.991594E+07	   2.433249E+08
    8.9000	  -3.184337E-01	  -2.017722E+07	   2.433303E+08
    9.0000	  -5.779171E-01	  -2.035275E+07	   2.424625E+08
    9.1000	  -8.437365E-01	  -2.043730E+07	   2.406814E+08
    9.2000	  -1.114002E+00	  -2.042636E+07	   2.379524E+08
    9.3000	  -1.386780E+00	  -2.031615E+07	   2.342470E+08
    9.4000	  -1.660105E+00	  -2.010370E+07	   2.295434E+08
    9.5000	  -1.932011E+00	  -1.978681E+07	   2.238265E+08
    9.6000	  -2.200547E+00	  -1.936417E+07	   2.170884E+08
    9.7000	  -2.463794E+00	  -1.883529E+07	   2.093283E+08
    9.8000	  -2.719889E+00	  -1.820053E+07	   2.005530E+08
    9.9000	  -2.967040E+00	  -1.746112E+07	   1.907764E+08
   10.0000	  -3.203539E+00	  -1.661909E+07	   1.800203E+08
   10.1000	  -3.427779E+00	  -1.567732E+07	   1.683132E+08
   10.2000	  -3.638265E+00	  -1.463946E+07	   1.556914E+08
