
These predictions were generated by SubDyn on 27-Nov-2023 at 16:39:57.




    Time	  M1N2TDzss	   M1N2FKze
       s	        (m)	        (N)
    0.0000	 0.0000E+00	 0.0000E+00
    0.0100	-4.9034E-04	-1.9358E+00
    0.0200	-1.9594E-03	-7.7354E+00
    0.0300	-4.4014E-03	-1.7376E+01
    0.0400	-7.8068E-03	-3.0820E+01
    0.0500	-1.2162E-02	-4.8013E+01
    0.0600	-1.7450E-02	-6.8889E+01
    0.0700	-2.3650E-02	-9.3364E+01
    0.0800	-3.0737E-02	-1.2134E+02
    0.0900	-3.8683E-02	-1.5271E+02
    0.1000	-4.7457E-02	-1.8735E+02
    0.1100	-5.7025E-02	-2.2512E+02
    0.1200	-6.7349E-02	-2.6588E+02
    0.1300	-7.8387E-02	-3.0946E+02
    0.1400	-9.0097E-02	-3.5568E+02
    0.1500	-1.0243E-01	-4.0438E+02
    0.1600	-1.1534E-01	-4.5535E+02
    0.1700	-1.2878E-01	-5.0840E+02
    0.1800	-1.4269E-01	-5.6331E+02
    0.1900	-1.5702E-01	-6.1986E+02
    0.2000	-1.7170E-01	-6.7785E+02
    0.2100	-1.8669E-01	-7.3703E+02
    0.2200	-2.0193E-01	-7.9717E+02
    0.2300	-2.1735E-01	-8.5804E+02
    0.2400	-2.3289E-01	-9.1940E+02
    0.2500	-2.4849E-01	-9.8099E+02
    0.2600	-2.6409E-01	-1.0426E+03
    0.2700	-2.7964E-01	-1.1039E+03
    0.2800	-2.9505E-01	-1.1648E+03
    0.2900	-3.1029E-01	-1.2250E+03
    0.3000	-3.2528E-01	-1.2841E+03
    0.3100	-3.3997E-01	-1.3421E+03
    0.3200	-3.5429E-01	-1.3987E+03
    0.3300	-3.6820E-01	-1.4536E+03
    0.3400	-3.8164E-01	-1.5066E+03
    0.3500	-3.9455E-01	-1.5576E+03
    0.3600	-4.0689E-01	-1.6063E+03
    0.3700	-4.1860E-01	-1.6525E+03
    0.3800	-4.2963E-01	-1.6961E+03
    0.3900	-4.3996E-01	-1.7369E+03
    0.4000	-4.4953E-01	-1.7746E+03
    0.4100	-4.5830E-01	-1.8093E+03
    0.4200	-4.6625E-01	-1.8407E+03
    0.4300	-4.7333E-01	-1.8686E+03
    0.4400	-4.7953E-01	-1.8931E+03
    0.4500	-4.8482E-01	-1.9140E+03
    0.4600	-4.8918E-01	-1.9312E+03
    0.4700	-4.9258E-01	-1.9446E+03
    0.4800	-4.9503E-01	-1.9543E+03
    0.4900	-4.9650E-01	-1.9601E+03
    0.5000	-4.9699E-01	-1.9620E+03
    0.5100	-4.9650E-01	-1.9601E+03
    0.5200	-4.9503E-01	-1.9543E+03
    0.5300	-4.9259E-01	-1.9446E+03
    0.5400	-4.8918E-01	-1.9312E+03
