
Predictions were generated on 31-May-2023 at 21:33:44 using HydroDyn Driver, compiled on May 31 2023 at 15:45:05 as a 64-bit application using double precision at commit v3.5.0-439-g03d62244-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	B1Surge	B1Sway	B1Heave	B1Roll	B1Pitch	B1Yaw	B1TVxi	B1TVyi	B1TVzi	B1RVxi	B1RVyi	B1RVzi	B1TAxi	B1TAyi	B1TAzi	B1RAxi	B1RAyi	B1RAzi	B1WvsFxi	B1WvsFzi	B1WvsMyi	B1HDSFxi	B1HDSFyi	B1HDSFzi	B1HDSMxi	B1HDSMyi	B1HDSMzi	B1RdtFxi	B1RdtFyi	B1RdtFzi	B1RdtMxi	B1RdtMyi	B1RdtMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(rad)	(rad)	(rad)	(m/s)	(m/s)	(m/s)	(rad/s)	(rad/s)	(rad/s)	(m/s^2)	(m/s^2)	(m/s^2)	(rad/s^2)	(rad/s^2)	(rad/s^2)	(N)	(N)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.1125	   9.839311E-02	  -9.052991E+05	  -1.824710E+04	   4.538685E+07	   9.591413E+05	   4.950866E+07	   1.070756E+05	   4.999876E+00	  -5.043137E-06	   1.476978E-04	   1.678162E-07	   3.312010E-02	  -3.102287E-08	  -1.823904E-03	  -5.200386E-05	   2.573701E-03	   1.312250E-06	  -7.209163E-04	  -7.561019E-07	  -5.563109E-03	   2.902521E-03	   2.127229E-02	  -1.224450E-04	  -6.097540E-03	  -6.989596E-06	   4.300686E+05	   3.775699E+05	   3.041117E+06	   0.000000E+00	   0.000000E+00	   1.398906E+08	   6.389058E+01	   1.260933E+07	   0.000000E+00	  -4.831940E+05	  -8.397084E+03	  -3.127161E+05	   6.360568E+05	   4.350641E+07	   3.409632E+04
    0.1250	   9.689023E-02	  -9.036439E+05	  -3.187368E+04	   4.539192E+07	   1.496408E+06	   4.917277E+07	   8.334805E+04	   4.999853E+00	  -5.419506E-06	   1.815206E-04	   1.728641E-07	   3.311061E-02	  -4.094681E-08	  -1.884065E-03	  -6.205437E-06	   2.837181E-03	  -5.708457E-07	  -7.969015E-04	  -8.281046E-07	  -3.969429E-03	   4.813036E-03	   2.086190E-02	  -1.959797E-04	  -6.055152E-03	  -3.990851E-06	   4.476442E+05	   3.733701E+05	   2.878260E+06	   0.000000E+00	   0.000000E+00	   1.398904E+08	   6.581239E+01	   1.260572E+07	   0.000000E+00	  -4.900272E+05	  -1.453074E+04	  -3.066916E+05	   1.003779E+06	   4.333857E+07	   1.952056E+04
    0.1375	   9.538734E-02	  -8.983646E+05	  -4.538932E+04	   4.539704E+07	   2.024090E+06	   4.896024E+07	   5.674981E+04	   4.999829E+00	  -5.075245E-06	   2.186047E-04	   1.486843E-07	   3.310018E-02	  -5.153008E-08	  -1.926703E-03	   6.293433E-05	   3.095492E-03	  -3.347711E-06	  -8.724392E-04	  -8.611887E-07	  -2.855755E-03	   6.700073E-03	   2.045165E-02	  -2.683699E-04	  -6.030314E-03	  -7.739399E-07	   4.652197E+05	   3.691704E+05	   2.715403E+06	   0.000000E+00	   0.000000E+00	   1.398903E+08	   5.660672E+01	   1.260174E+07	   0.000000E+00	  -4.952573E+05	  -2.061065E+04	  -3.006700E+05	   1.365243E+06	   4.325672E+07	   3.885469E+03
    0.1500	   9.388445E-02	  -8.896799E+05	  -5.722578E+04	   4.540219E+07	   2.482971E+06	   4.886318E+07	   3.241585E+04	   4.999804E+00	  -3.725637E-06	   2.588857E-04	   8.438896E-08	   3.308880E-02	  -6.228267E-08	  -1.957623E-03	   1.542263E-04	   3.348628E-03	  -6.972743E-06	  -9.477406E-04	  -8.554617E-07	  -2.192544E-03	   8.347319E-03	   2.004201E-02	  -3.314057E-04	  -6.021921E-03	   2.123941E-06	   4.827953E+05	   3.649706E+05	   2.552546E+06	   0.000000E+00	   0.000000E+00	   1.398901E+08	   3.212836E+01	   1.259741E+07	   0.000000E+00	  -4.989824E+05	  -2.593300E+04	  -2.946582E+05	   1.679647E+06	   4.325540E+07	  -1.019471E+04
    0.1625	   9.238155E-02	  -8.780588E+05	  -6.598436E+04	   4.540736E+07	   2.820398E+06	   4.886334E+07	   1.533346E+04	   4.999780E+00	  -1.116875E-06	   3.022988E-04	  -2.973248E-08	   3.307649E-02	  -7.275708E-08	  -1.982026E-03	   2.638900E-04	   3.596602E-03	  -1.130210E-05	  -1.022996E-03	  -8.177155E-07	  -1.914429E-03	   9.562102E-03	   1.963333E-02	  -3.777832E-04	  -6.027463E-03	   4.190964E-06	   5.003708E+05	   3.607709E+05	   2.389689E+06	   0.000000E+00	   0.000000E+00	   1.398900E+08	  -1.131968E+01	   1.259272E+07	   0.000000E+00	  -5.014138E+05	  -2.987027E+04	  -2.886616E+05	   1.910712E+06	   4.332208E+07	  -2.022933E+04
    0.1750	   9.087867E-02	  -8.642314E+05	  -7.065739E+04	   4.541254E+07	   2.998521E+06	   4.893252E+07	   9.608927E+03	   4.999755E+00	   2.943746E-06	   3.487795E-04	  -2.010675E-07	   3.306323E-02	  -8.262834E-08	  -2.004359E-03	   3.860288E-04	   3.839433E-03	  -1.611160E-05	  -1.098365E-03	  -7.605745E-07	  -1.919348E-03	   1.020575E-02	   1.922497E-02	  -4.022508E-04	  -6.043019E-03	   5.017054E-06	   5.179464E+05	   3.565711E+05	   2.226832E+06	   0.000000E+00	   0.000000E+00	   1.398898E+08	  -7.654993E+01	   1.258768E+07	   0.000000E+00	  -5.028798E+05	  -3.197045E+04	  -2.826702E+05	   2.032366E+06	   4.343718E+07	  -2.422301E+04
    0.1875	   8.937578E-02	  -8.491618E+05	  -7.078511E+04	   4.541780E+07	   3.000139E+06	   4.903352E+07	   1.802684E+04	   4.999730E+00	   8.566305E-06	   3.982637E-04	  -4.338634E-07	   3.304902E-02	  -9.175731E-08	  -2.027395E-03	   5.133464E-04	   4.077117E-03	  -2.112335E-05	  -1.173946E-03	  -7.009829E-07	  -2.072606E-03	   1.021511E-02	   1.881456E-02	  -4.024224E-04	  -6.063413E-03	   4.341594E-06	   5.355220E+05	   3.523713E+05	   2.063975E+06	   0.000000E+00	   0.000000E+00	   1.398896E+08	  -1.651794E+02	   1.258227E+07	   0.000000E+00	  -5.038143E+05	  -3.202744E+04	  -2.766496E+05	   2.032775E+06	   4.357482E+07	  -2.090772E+04
    0.2000	   8.787289E-02	  -8.339279E+05	  -6.653349E+04	   4.542316E+07	   2.831568E+06	   4.912416E+07	   4.146068E+04	   4.999704E+00	   1.576671E-05	   4.506866E-04	  -7.287804E-07	   3.303388E-02	  -1.002330E-07	  -2.052247E-03	   6.381258E-04	   4.309623E-03	  -2.604265E-05	  -1.249770E-03	  -6.582639E-07	  -2.223548E-03	   9.613179E-03	   1.839920E-02	  -3.791771E-04	  -6.082855E-03	   2.107042E-06	   5.530976E+05	   3.481716E+05	   1.901117E+06	   0.000000E+00	   0.000000E+00	   1.398894E+08	  -2.774595E+02	   1.257650E+07	   0.000000E+00	  -5.047017E+05	  -3.011589E+04	  -2.705568E+05	   1.916319E+06	   4.370609E+07	  -1.000365E+04
    0.2125	   8.573646E-02	  -8.216742E+05	  -5.867596E+04	   4.542846E+07	   2.521930E+06	   4.912297E+07	   7.874562E+04	   4.999678E+00	   2.446815E-05	   5.059832E-04	  -1.082936E-06	   3.301778E-02	  -1.083846E-07	  -2.078129E-03	   7.532852E-04	   4.536883E-03	  -3.059784E-05	  -1.325799E-03	  -6.512580E-07	  -2.280765E-03	   8.506535E-03	   1.795638E-02	  -3.365607E-04	  -6.091744E-03	  -1.532315E-06	   5.667546E+05	   3.432980E+05	   1.763565E+06	   0.000000E+00	   0.000000E+00	   1.398892E+08	  -4.122927E+02	   1.257037E+07	   0.000000E+00	  -5.053179E+05	  -2.658296E+04	  -2.640614E+05	   1.703104E+06	   4.376951E+07	   7.738281E+03
    0.2250	   8.360003E-02	  -8.113612E+05	  -4.848233E+04	   4.543396E+07	   2.118966E+06	   4.902877E+07	   1.269066E+05	   4.999652E+00	   3.451516E-05	   5.640846E-04	  -1.490424E-06	   3.300073E-02	  -1.167602E-07	  -2.103854E-03	   8.533400E-04	   4.758331E-03	  -3.457674E-05	  -1.401831E-03	  -6.958518E-07	  -2.041141E-03	   7.070045E-03	   1.750257E-02	  -2.812042E-04	  -6.088353E-03	  -6.237418E-06	   5.804117E+05	   3.384244E+05	   1.626012E+06	   0.000000E+00	   0.000000E+00	   1.398890E+08	  -5.674307E+02	   1.256388E+07	   0.000000E+00	  -5.068337E+05	  -2.199851E+04	  -2.574048E+05	   1.426071E+06	   4.376992E+07	   3.066820E+04
