
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 30-Jan-2025 at 10:50:24.

 
 
 
      Time         BODY1PX         BODY1PY         BODY1PZ         BODY1VX         BODY1VY         BODY1VZ         BODY1FX         BODY1FY         BODY1FZ        ANCHTEN1          CON1FX          CON1FY          CON1FZ
       (s)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
    0.1000   2.4318102E-02   1.1686548E-02  -5.0003043E+01   4.8473045E-01   2.3317854E-01  -6.5943878E-02   1.0212570E+05   4.9311792E+04  -1.6660422E+04   2.1605353E+05  -8.5467750E+02  -4.1080113E+02   2.0162461E+05
    0.2000   9.6447152E-02   4.6474909E-02  -5.0013383E+01   9.5470751E-01   4.6163153E-01  -1.3728312E-01   9.8134112E+04   4.8096771E+04  -1.2574119E+04   2.1451408E+05  -2.3467808E+03  -1.1325690E+03   2.0556165E+05
    0.3000   2.1454290E-01   1.0380544E-01  -5.0029781E+01   1.4031363E+00   6.8383563E-01  -1.8929347E-01   9.2949888E+04   4.6639027E+04  -1.0650801E+04   2.1661615E+05  -3.9106005E+03  -1.9002623E+03   2.0731199E+05
    0.4000   3.7617554E-01   1.8299126E-01  -5.0051162E+01   1.8245550E+00   8.9849179E-01  -2.3696825E-01   8.6635997E+04   4.4870293E+04  -8.8914498E+03   2.2012126E+05  -5.7224449E+03  -2.8054591E+03   2.0886527E+05
    0.5000   5.7839385E-01   2.8320310E-01  -5.0076601E+01   2.2141487E+00   1.1041140E+00  -2.6842538E-01   7.9434088E+04   4.2795417E+04  -4.6789009E+03   2.2222375E+05  -7.8143999E+03  -3.8716615E+03   2.1291694E+05
    0.6000   8.1783724E-01   4.0347173E-01  -5.0104305E+01   2.5686628E+00   1.2994482E+00  -2.8338841E-01   7.1724545E+04   4.0489553E+04  -1.7296905E+03   2.2632573E+05  -1.0082707E+04  -5.0548450E+03   2.1578269E+05
    0.7000   1.0908978E+00   5.4271543E-01  -5.0132772E+01   2.8862579E+00   1.4834350E+00  -2.8293288E-01   6.3720348E+04   3.7956316E+04   2.0740036E+03   2.2999973E+05  -1.2571939E+04  -6.3840626E+03   2.1958899E+05
    0.8000   1.3938353E+00   6.9974947E-01  -5.0160275E+01   3.1662084E+00   1.6551291E+00  -2.6419169E-01   5.5722821E+04   3.5261865E+04   5.8101571E+03   2.3397841E+05  -1.5206344E+04  -7.8266953E+03   2.2342881E+05
    0.9000   1.7229085E+00   8.7331247E-01  -5.0185063E+01   3.4091568E+00   1.8139304E+00  -2.2883081E-01   4.7959986E+04   3.2460364E+04   9.2996137E+03   2.3817589E+05  -1.7933806E+04  -9.3601632E+03   2.2709472E+05
    1.0000   2.0744835E+00   1.0620924E+00  -5.0205487E+01   3.6165485E+00   1.9594143E+00  -1.7689080E-01   4.0584962E+04   2.9591744E+04   1.2817551E+04   2.4213593E+05  -2.0730220E+04  -1.0974127E+04   2.3082651E+05
    1.1000   2.4451080E+00   1.2647466E+00  -5.0219916E+01   3.7905640E+00   2.0914090E+00  -1.0918794E-01   3.3736799E+04   2.6712998E+04   1.6010742E+04   2.4604479E+05  -2.3537511E+04  -1.2637633E+04   2.3421744E+05
    1.2000   2.8315721E+00   1.4799261E+00  -5.0226846E+01   3.9337747E+00   2.2099270E+00  -2.7071818E-02   2.7442251E+04   2.3844437E+04   1.8981149E+04   2.4964134E+05  -2.6370225E+04  -1.4352682E+04   2.3730467E+05
    1.3000   3.2309232E+00   1.7062861E+00  -5.0224890E+01   4.0487169E+00   2.3150357E+00   6.8224885E-02   2.1672970E+04   2.0995267E+04   2.1553117E+04   2.5284844E+05  -2.9271987E+04  -1.6129488E+04   2.3993623E+05
    1.4000   3.6404561E+00   1.9424918E+00  -5.0212859E+01   4.1378198E+00   2.4068766E+00   1.7378289E-01   1.6428889E+04   1.8193130E+04   2.3334303E+04   2.5557279E+05  -3.2238633E+04  -1.7956641E+04   2.4197921E+05
    1.5000   4.0577163E+00   2.1872322E+00  -5.0189921E+01   4.2037577E+00   2.4858227E+00   2.8571384E-01   1.1812309E+04   1.5508233E+04   2.4263450E+04   2.5767986E+05  -3.5139197E+04  -1.9775131E+04   2.4342939E+05
    1.6000   4.4805412E+00   2.4392506E+00  -5.0155641E+01   4.2496415E+00   2.5525687E+00   3.9991954E-01   7.8651255E+03   1.2991877E+04   2.4303443E+04   2.5915181E+05  -3.7876874E+04  -2.1538550E+04   2.4425927E+05
    1.7000   4.9070757E+00   2.6973670E+00  -5.0109999E+01   4.2784004E+00   2.6079151E+00   5.1228803E-01   4.4919326E+03   1.0645267E+04   2.3493295E+04   2.5999256E+05  -4.0485536E+04  -2.3246628E+04   2.4448089E+05
    1.8000   5.3357366E+00   2.9604813E+00  -5.0053370E+01   4.2925789E+00   2.6526680E+00   6.1906915E-01   1.6409948E+03   8.4748655E+03   2.1942891E+04   2.6024373E+05  -4.2957725E+04  -2.4891307E+04   2.4414497E+05
    1.9000   5.7651851E+00   3.2275763E+00  -4.9986475E+01   4.2945240E+00   2.6876671E+00   7.1714153E-01  -7.3866836E+02   6.4841407E+03   1.9807155E+04   2.5998381E+05  -4.5285336E+04  -2.6465028E+04   2.4332558E+05
    2.0000   6.1943029E+00   3.4977181E+00  -4.9910309E+01   4.2862811E+00   2.7137442E+00   8.0417966E-01  -2.7139240E+03   4.6679855E+03   1.7268044E+04   2.5931420E+05  -4.7481027E+04  -2.7967138E+04   2.4211582E+05
    2.1000   6.6221618E+00   3.7700551E+00  -4.9826055E+01   4.2696214E+00   2.7316993E+00   8.7874209E-01  -4.3387498E+03   3.0178790E+03   1.4517332E+04   2.5835147E+05  -4.9550128E+04  -2.9399351E+04   2.4062441E+05
    2.2000   7.0479976E+00   4.0438130E+00  -4.9734995E+01   4.2460480E+00   2.7422837E+00   9.4026971E-01  -5.6723863E+03   1.5215567E+03   1.1736633E+04   2.5721678E+05  -5.1509567E+04  -3.0766593E+04   2.3896659E+05
    2.3000   7.4711831E+00   4.3182897E+00  -4.9638427E+01   4.2168017E+00   2.7461831E+00   9.8900247E-01  -6.7671765E+03   1.6364664E+02   9.0833265E+03   2.5602976E+05  -5.3376126E+04  -3.2076830E+04   2.3725640E+05
    2.4000   7.8912028E+00   4.5928478E+00  -4.9537591E+01   4.1828828E+00   2.7440086E+00   1.0258427E+00  -7.6735270E+03  -1.0721227E+03   6.6815325E+03   2.5490028E+05  -5.5171117E+04  -3.3339192E+04   2.3559909E+05
    2.5000   8.3076303E+00   4.8669072E+00  -4.9433608E+01   4.1450686E+00   2.7362931E+00   1.0521898E+00  -8.4357049E+03  -2.2027197E+03   4.6190218E+03   2.5392348E+05  -5.6915855E+04  -3.4563984E+04   2.3408566E+05
    2.6000   8.7201066E+00   5.1399373E+00  -4.9327444E+01   4.1039428E+00   2.7234910E+00   1.0697713E+00  -9.0918475E+03  -3.2446294E+03   2.9486839E+03   2.5317539E+05  -5.8630865E+04  -3.5761639E+04   2.3278945E+05
    2.7000   9.1283230E+00   5.4114489E+00  -4.9219882E+01   4.0599290E+00   2.7059804E+00   1.0804884E+00  -9.6719958E+03  -4.2136826E+03   1.6921103E+03   2.5271104E+05  -6.0332995E+04  -3.6942604E+04   2.3176396E+05
    2.8000   9.5320065E+00   5.6809872E+00  -4.9111511E+01   4.0133264E+00   2.6840702E+00   1.0862785E+00  -1.0199631E+04  -5.1232774E+03   8.4428083E+02   2.5256400E+05  -6.2035938E+04  -3.8115540E+04   2.3104194E+05
    2.9000   9.9309090E+00   5.9481252E+00  -4.9002728E+01   3.9643368E+00   2.6580144E+00   1.0890032E+00  -1.0692759E+04  -5.9833956E+03   3.7854198E+02   2.5274715E+05  -6.3750525E+04  -3.9286200E+04   2.3063563E+05
    3.0000   1.0324799E+01   6.2124594E+00  -4.8893755E+01   3.9130907E+00   2.6280275E+00   1.0903576E+00  -1.1163675E+04  -6.8011972E+03   2.5135028E+02   2.5325538E+05  -6.5483748E+04  -4.0457868E+04   2.3053804E+05
    3.1000   1.0713455E+01   6.4736062E+00  -4.8784653E+01   3.8596751E+00   2.5942947E+00   1.0918036E+00  -1.1618862E+04  -7.5819117E+03   4.0774097E+02   2.5406728E+05  -6.7237911E+04  -4.1632139E+04   2.3072607E+05
    3.2000   1.1096664E+01   6.7311993E+00  -4.8675352E+01   3.8041568E+00   2.5569828E+00   1.0945277E+00  -1.2060760E+04  -8.3280919E+03   7.8571712E+02   2.5514785E+05  -6.9011777E+04  -4.2808065E+04   2.3116377E+05
    3.3000   1.1474219E+01   6.9848891E+00  -4.8565675E+01   3.7465988E+00   2.5162522E+00   1.0994160E+00  -1.2488487E+04  -9.0401825E+03   1.3199388E+03   2.5645173E+05  -7.0800879E+04  -4.3982603E+04   2.3180553E+05
    3.4000   1.1845918E+01   7.2343415E+00  -4.8455377E+01   3.6870751E+00   2.4722642E+00   1.1070479E+00  -1.2898565E+04  -9.7173099E+03   1.9453379E+03   2.5792615E+05  -7.2597922E+04  -4.5151336E+04   2.3259978E+05
    3.5000   1.2211571E+01   7.4792392E+00  -4.8344165E+01   3.6256794E+00   2.4251873E+00   1.1177040E+00  -1.3286073E+04  -1.0357306E+04   2.5999790E+03   2.5951419E+05  -7.4393741E+04  -4.6308454E+04   2.3349214E+05
    3.6000   1.2570996E+01   7.7192822E+00  -4.8231735E+01   3.5625307E+00   2.3752022E+00   1.1313869E+00  -1.3645298E+04  -1.0957348E+04   3.2276063E+03   2.6115772E+05  -7.6177891E+04  -4.7447376E+04   2.3442833E+05
    3.7000   1.2924024E+01   7.9541894E+00  -4.8117795E+01   3.4977756E+00   2.3225034E+00   1.1478528E+00  -1.3970384E+04  -1.1514358E+04   3.7797348E+03   2.6280013E+05  -7.7939305E+04  -4.8561159E+04   2.3535674E+05
    3.8000   1.3270503E+01   8.1836996E+00  -4.8002087E+01   3.4315871E+00   2.2672998E+00   1.1666520E+00  -1.4255882E+04  -1.2025283E+04   4.2171697E+03   2.6438876E+05  -7.9666925E+04  -4.9642812E+04   2.3623041E+05
    3.9000   1.3610300E+01   8.4075734E+00  -4.7884407E+01   3.3641622E+00   2.2098139E+00   1.1871748E+00  -1.4497026E+04  -1.2487542E+04   4.5110176E+03   2.6587683E+05  -8.1350102E+04  -5.0685790E+04   2.3700856E+05
    4.0000   1.3943302E+01   8.6255942E+00  -4.7764618E+01   3.2957181E+00   2.1502788E+00   1.2087010E+00  -1.4690120E+04  -1.2899056E+04   4.6430547E+03   2.6722497E+05  -8.2979128E+04  -5.1684093E+04   2.3765763E+05
    4.1000   1.4269418E+01   8.8375691E+00  -4.7642659E+01   3.2264864E+00   2.0889362E+00   1.2304499E+00  -1.4832710E+04  -1.3258403E+04   4.6054952E+03   2.6840215E+05  -8.4545580E+04  -5.2632473E+04   2.3815186E+05
    4.2000   1.4588581E+01   9.0433296E+00  -4.7518548E+01   3.1567069E+00   2.0260325E+00   1.2516269E+00  -1.4923693E+04  -1.3564895E+04   4.4001964E+03   2.6938623E+05  -8.6042590E+04  -5.3526576E+04   2.3847346E+05
    4.3000   1.4900749E+01   9.2427319E+00  -4.7392379E+01   3.0866217E+00   1.9618154E+00   1.2714666E+00  -1.4963264E+04  -1.3818742E+04   4.0373845E+03   2.7016388E+05  -8.7464941E+04  -5.4363160E+04   2.3861242E+05
    4.4000   1.5205903E+01   9.4356571E+00  -4.7264322E+01   3.0164689E+00   1.8965297E+00   1.2892679E+00  -1.4952920E+04  -1.4021008E+04   3.5340382E+03   2.7073018E+05  -8.8809198E+04  -5.5140106E+04   2.3856598E+05
    4.5000   1.5504048E+01   9.6220102E+00  -4.7134613E+01   2.9464764E+00   1.8304130E+00   1.3044218E+00  -1.4895400E+04  -1.4173556E+04   2.9120763E+03   2.7108787E+05  -9.0073754E+04  -5.5856403E+04   2.3833798E+05
    4.6000   1.5795211E+01   9.8017197E+00  -4.7003542E+01   2.8768569E+00   1.7636926E+00   1.3164299E+00  -1.4794524E+04  -1.4279041E+04   2.1965084E+03   2.7124631E+05  -9.1258750E+04  -5.6512172E+04   2.3793784E+05
    4.7000   1.6079438E+01   9.9747358E+00  -4.6871445E+01   2.8078030E+00   1.6965815E+00   1.3249148E+00  -1.4655045E+04  -1.4340806E+04   1.4136855E+03   2.7122026E+05  -9.2365969E+04  -5.7108582E+04   2.3737964E+05
    4.8000   1.6356796E+01   1.0141030E+01  -4.6738685E+01   2.7394829E+00   1.6292758E+00   1.3296229E+00  -1.4482466E+04  -1.4362757E+04   5.8975639E+02   2.7102868E+05  -9.3398683E+04  -5.7647731E+04   2.3668098E+05
    4.9000   1.6627364E+01   1.0300590E+01  -4.6605650E+01   2.6720380E+00   1.5619522E+00   1.3304200E+00  -1.4282792E+04  -1.4349245E+04  -2.5063628E+02   2.7069348E+05  -9.4361393E+04  -5.8132520E+04   2.3586183E+05
    5.0000   1.6891236E+01   1.0453425E+01  -4.6472732E+01   2.6055805E+00   1.4947659E+00   1.3272821E+00  -1.4062322E+04  -1.4304917E+04  -1.0852691E+03   2.7023820E+05  -9.5259593E+04  -5.8566497E+04   2.3494362E+05
    5.1000   1.7148516E+01   1.0599553E+01  -4.6340322E+01   2.5401930E+00   1.4278504E+00   1.3202826E+00  -1.3827457E+04  -1.4234592E+04  -1.8948814E+03   2.6968685E+05  -9.6099524E+04  -5.8953708E+04   2.3394827E+05
    5.2000   1.7399312E+01   1.0739007E+01  -4.6208799E+01   2.4759281E+00   1.3613161E+00   1.3095774E+00  -1.3584462E+04  -1.4143097E+04  -2.6635802E+03   2.6906307E+05  -9.6887874E+04  -5.9298495E+04   2.3289740E+05
    5.3000   1.7643739E+01   1.0871831E+01  -4.6078523E+01   2.4128100E+00   1.2952513E+00   1.2953888E+00  -1.3339261E+04  -1.4035087E+04  -3.3789927E+03   2.6838931E+05  -9.7631494E+04  -5.9605291E+04   2.3181153E+05
    5.4000   1.7881912E+01   1.0998075E+01  -4.5949828E+01   2.3508360E+00   1.2297231E+00   1.2779890E+00  -1.3097271E+04  -1.3914942E+04  -4.0321383E+03   2.6768621E+05  -9.8337145E+04  -5.9878476E+04   2.3070957E+05
    5.5000   1.8113944E+01   1.1117796E+01  -4.5823021E+01   2.2899798E+00   1.1647787E+00   1.2576844E+00  -1.2863206E+04  -1.3786621E+04  -4.6173535E+03   2.6697214E+05  -9.9011203E+04  -6.0122186E+04   2.2960828E+05
    5.6000   1.8339944E+01   1.1231052E+01  -4.5698377E+01   2.2301946E+00   1.1004483E+00   1.2348011E+00  -1.2641013E+04  -1.3653598E+04  -5.1318682E+03   2.6626290E+05  -9.9659515E+04  -6.0340212E+04   2.2852203E+05
    5.7000   1.8560016E+01   1.1337906E+01  -4.5576136E+01   2.1714171E+00   1.0367469E+00   1.2096720E+00  -1.2433797E+04  -1.3518778E+04  -5.5754816E+03   2.6557146E+05  -1.0028722E+05  -6.0535883E+04   2.2746263E+05
    5.8000   1.8774258E+01   1.1438422E+01  -4.5456506E+01   2.1135716E+00   9.7367718E-01   1.1826255E+00  -1.2243761E+04  -1.3384460E+04  -5.9502089E+03   2.6490800E+05  -1.0089863E+05  -6.0711987E+04   2.2643925E+05
    5.9000   1.8982759E+01   1.1532662E+01  -4.5339664E+01   2.0565741E+00   9.1123263E-01   1.1539766E+00  -1.2072258E+04  -1.3252342E+04  -6.2598086E+03   2.6427986E+05  -1.0149719E+05  -6.0870755E+04   2.2545852E+05
    6.0000   1.9185598E+01   1.1620689E+01  -4.5225754E+01   2.0003360E+00   8.4940013E-01   1.1240189E+00  -1.1919815E+04  -1.3123525E+04  -6.5094276E+03   2.6369172E+05  -1.0208545E+05  -6.1013836E+04   2.2452467E+05
    6.1000   1.9382848E+01   1.1702562E+01  -4.5114895E+01   1.9447683E+00   7.8816269E-01   1.0930195E+00  -1.1786205E+04  -1.2998559E+04  -6.7052277E+03   2.6314581E+05  -1.0266506E+05  -6.1142324E+04   2.2363974E+05
    6.2000   1.9574571E+01   1.1778341E+01  -4.5007177E+01   1.8897846E+00   7.2750196E-01   1.0612150E+00  -1.1670543E+04  -1.2877493E+04  -6.8540491E+03   2.6264219E+05  -1.0323690E+05  -6.1256798E+04   2.2280387E+05
    6.3000   1.9760822E+01   1.1848081E+01  -4.4902672E+01   1.8353037E+00   6.6740041E-01   1.0288088E+00  -1.1571389E+04  -1.2759938E+04  -6.9631242E+03   2.6217908E+05  -1.0380107E+05  -6.1357369E+04   2.2201555E+05
    6.4000   1.9941646E+01   1.1911839E+01  -4.4801430E+01   1.7812527E+00   6.0784322E-01   9.9597002E-01  -1.1486863E+04  -1.2645143E+04  -7.0398058E+03   2.6175316E+05  -1.0435703E+05  -6.1443759E+04   2.2127199E+05
