
These predictions were generated by SeaState on 20-Dec-2023 at 15:17:55.




      Time       Wave1Elev       Wave2Elev       Wave3Elev         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2         FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi          FDynP3
   (sec)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    1.2000   0.5355365E-02  -0.3706519E+00   0.1975341E+00  -0.3454102E-01   0.1046597E-01   0.1317126E+00  -0.1225131E+00  -0.1418603E+00  -0.6141254E-01  -0.2636836E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.3000   0.4160869E-01  -0.3924859E+00   0.2039924E+00  -0.4621882E-01  -0.3285746E-02   0.1232414E+00  -0.1103142E+00  -0.1322316E+00  -0.1075093E+00  -0.1351597E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.4000   0.7185448E-01  -0.4005491E+00   0.2002154E+00  -0.5646569E-01  -0.1579716E-01   0.1103399E+00  -0.9397711E-01  -0.1171149E+00  -0.1497352E+00  -0.1741008E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.5000   0.9738029E-01  -0.3939750E+00   0.1829623E+00  -0.6489577E-01  -0.2654138E-01   0.9347782E-01  -0.7409236E-01  -0.9698492E-01  -0.1864641E+00   0.8533486E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.6000   0.1192517E+00  -0.3733330E+00   0.1508194E+00  -0.7119136E-01  -0.3504962E-01   0.7327869E-01  -0.5142790E-01  -0.7252543E-01  -0.2162530E+00   0.1693951E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.7000   0.1373333E+00  -0.3409114E+00   0.1047168E+00  -0.7511907E-01  -0.4093111E-01   0.5049881E-01  -0.2689873E-01  -0.4460937E-01  -0.2379033E+00   0.2317859E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.8000   0.1502154E+00  -0.3004868E+00   0.4793761E-01  -0.7654298E-01  -0.4389054E-01   0.2599980E-01  -0.1528068E-02  -0.1426807E-01  -0.2505122E+00   0.2703391E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    1.9000   0.1559983E+00  -0.2564668E+00  -0.1440882E-01  -0.7543281E-01  -0.4374216E-01   0.7170157E-03   0.2359932E-01   0.1734758E-01  -0.2535138E+00   0.2837917E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    2.0000   0.1534181E+00  -0.2126451E+00  -0.7638108E-01  -0.7186773E-01  -0.4041935E-01  -0.2437555E-01   0.4738982E-01   0.4901270E-01  -0.2467057E+00   0.2718442E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    2.1000   0.1426362E+00  -0.1710817E+00  -0.1324803E+00  -0.6603437E-01  -0.3397966E-01  -0.4830258E-01   0.6879774E-01   0.7947785E-01  -0.2302641E+00   0.2351788E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
