
Predictions were generated on 09-Jun-2020 at 10:52:56 using BeamDyn




Time	RootFxr   	RootFyr   	RootFzr   	RootMxr   	RootMyr   	RootMzr   	N1Fxl     	N1Fyl     	N1Fzl     	N1Mxl     	N1Myl     	N1Mzl     	TipTDxr   	TipTDyr   	TipTDzr   	TipRDxr   	TipRDyr   	TipRDzr   
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	(m)	(m)	(m)	(-)	(-)	(-)
       0.190000	-1.518E+03	-1.675E+05	 6.325E+02	 2.976E+06	-8.458E+04	-6.054E+02	 3.708E+04	-1.634E+05	 6.325E+02	 2.916E+06	 6.027E+05	-6.054E+02	-1.172E-02	-2.896E-01	-7.670E-04	 6.657E-03	-1.123E-03	-3.219E-05
       0.200000	-1.482E+03	-1.656E+05	 6.933E+02	 3.029E+06	-8.804E+04	-6.691E+02	 3.669E+04	-1.615E+05	 6.933E+02	 2.968E+06	 6.115E+05	-6.691E+02	-1.394E-02	-3.266E-01	-1.011E-03	 7.902E-03	-1.509E-03	-3.308E-05
       0.210000	-1.393E+03	-1.607E+05	 6.907E+02	 3.052E+06	-9.155E+04	-7.475E+02	 3.563E+04	-1.567E+05	 6.907E+02	 2.991E+06	 6.135E+05	-7.475E+02	-1.598E-02	-3.634E-01	-1.292E-03	 9.096E-03	-1.884E-03	-2.657E-05
       0.220000	-1.295E+03	-1.539E+05	 6.261E+02	 3.061E+06	-9.554E+04	-8.440E+02	 3.415E+04	-1.500E+05	 6.261E+02	 3.001E+06	 6.116E+05	-8.440E+02	-1.775E-02	-3.995E-01	-1.604E-03	 1.023E-02	-2.239E-03	-1.256E-05
       0.230000	-1.255E+03	-1.470E+05	 5.161E+02	 3.075E+06	-1.006E+05	-9.587E+02	 3.262E+04	-1.434E+05	 5.161E+02	 3.015E+06	 6.099E+05	-9.587E+02	-1.917E-02	-4.350E-01	-1.942E-03	 1.131E-02	-2.563E-03	 8.133E-06
       0.240000	-1.333E+03	-1.420E+05	 3.843E+02	 3.113E+06	-1.073E+05	-1.088E+03	 3.139E+04	-1.385E+05	 3.843E+02	 3.054E+06	 6.121E+05	-1.088E+03	-2.018E-02	-4.696E-01	-2.300E-03	 1.234E-02	-2.847E-03	 3.409E-05
       0.250000	-1.562E+03	-1.401E+05	 2.544E+02	 3.189E+06	-1.159E+05	-1.227E+03	 3.073E+04	-1.367E+05	 2.544E+02	 3.130E+06	 6.213E+05	-1.227E+03	-2.071E-02	-5.033E-01	-2.672E-03	 1.333E-02	-3.085E-03	 6.344E-05
       0.260000	-1.931E+03	-1.418E+05	 1.452E+02	 3.311E+06	-1.263E+05	-1.370E+03	 3.077E+04	-1.385E+05	 1.452E+02	 3.251E+06	 6.392E+05	-1.370E+03	-2.069E-02	-5.359E-01	-3.052E-03	 1.427E-02	-3.268E-03	 9.400E-05
       0.270000	-2.398E+03	-1.470E+05	 6.756E+01	 3.476E+06	-1.379E+05	-1.517E+03	 3.150E+04	-1.436E+05	 6.756E+01	 3.414E+06	 6.658E+05	-1.517E+03	-2.009E-02	-5.673E-01	-3.432E-03	 1.518E-02	-3.390E-03	 1.234E-04
       0.280000	-2.905E+03	-1.548E+05	 2.305E+01	 3.677E+06	-1.502E+05	-1.670E+03	 3.281E+04	-1.513E+05	 2.305E+01	 3.613E+06	 7.003E+05	-1.670E+03	-1.884E-02	-5.972E-01	-3.805E-03	 1.603E-02	-3.442E-03	 1.492E-04
