## This file was generated by MoorDyn c-bindings library on Aug-13-2024 at 17:07:14
## This file contains output channels requested from the OutList section of the input fileMD.out
#
#
#
#
     Time               FAIRTEN1                 FAIRTEN2                 FAIRTEN3                 ANCHTEN1                 ANCHTEN2                 ANCHTEN3        
      (s)                 (N)                      (N)                      (N)                      (N)                      (N)                      (N)           
    0.5250          2023314.2500000           621725.7500000          2024407.0000000          1614079.3750000            67804.7031250          1614651.5000000
    0.5375          2193511.0000000           606671.6875000          2194567.2500000          1498545.0000000            71090.2031250          1499183.5000000
    0.5500          2362871.5000000           589887.8750000          2363893.0000000          1396876.5000000            74923.7109375          1397580.3750000
    0.5625          2525794.2500000           571596.1250000          2526783.7500000          1306823.8750000            79176.5312500          1307591.7500000
    0.5750          2677032.2500000           552083.7500000          2677992.2500000          1226479.0000000            83747.7187500          1227309.6250000
    0.5875          2811948.7500000           531690.1250000          2812881.0000000          1154305.0000000            88558.2031250          1155196.8750000
    0.6000          2926674.7500000           510790.2500000          2927580.5000000          1089136.5000000            93545.9375000          1090088.8750000
    0.6125          3018220.0000000           489776.1875000          3019098.0000000          1030164.3125000            98661.9531250          1031176.6250000
    0.6250          3084498.5000000           469038.6562500          3085347.2500000           976909.4375000           103867.2734375           977981.1875000
    0.6375          3124324.7500000           448949.3125000          3125140.7500000           929192.1250000           109130.6171875           930322.9375000
    0.6500          3137368.2500000           429844.9687500          3138148.2500000           887097.8125000           114426.6875000           888287.3125000
    0.6625          3124075.2500000           412015.6562500          3124815.7500000           850941.3750000           119734.8828125           852188.6250000
    0.6750          3085588.5000000           395695.7500000          3086286.7500000           821227.6875000           125038.5312500           822531.2500000
    0.6875          3023706.2500000           381059.3437500          3024362.7500000           798609.3750000           130324.3281250           799967.0625000
    0.7000          2940838.0000000           368219.2500000          2941455.0000000           783840.5000000           135581.9843750           785249.0625000
    0.7125          2839889.7500000           357229.1875000          2840472.2500000           777725.0000000           140804.0156250           779180.2500000
    0.7250          2724119.7500000           348089.4062500          2724674.5000000           781061.9375000           145985.6093750           782558.6250000
    0.7375          2596963.7500000           340753.0625000          2597499.0000000           794585.5000000           151124.4375000           796117.5000000
    0.7500          2461874.2500000           335135.2812500          2462399.0000000           818884.2500000           156220.5156250           820444.4375000
    0.7625          2322155.5000000           331121.9687500          2322678.5000000           854300.3125000           161275.9062500           855880.8125000
    0.7750          2180840.7500000           328577.7812500          2181370.2500000           900840.0625000           166294.5000000           902432.3750000
    0.7875          2040588.5000000           327355.3125000          2041130.8750000           958098.5000000           171219.6875000           959693.6875000
    0.8000          1903626.5000000           327301.5000000          1904186.7500000          1025214.4375000           175350.0156250          1026803.4375000
    0.8125          1771743.3750000           328263.6562500          1772324.7500000          1100867.0000000           177498.6718750          1102440.8750000
    0.8250          1646273.3750000           330094.4375000          1646877.8750000          1183316.0000000           177330.7812500          1184866.3750000
    0.8375          1528165.0000000           332654.0937500          1528793.5000000          1270479.5000000           175578.7343750          1271998.6250000
    0.8500          1418001.5000000           335808.9375000          1418654.6250000          1360038.5000000           173384.0468750          1361519.6250000
    0.8625          1316092.0000000           339427.0000000          1316770.2500000          1449553.8750000           171705.7812500          1450991.0000000
    0.8750          1222527.2500000           343370.5937500          1223232.1250000          1536583.2500000           171090.9375000          1537971.7500000
    0.8875          1137234.1250000           347494.3750000          1137968.0000000          1618788.5000000           171706.9687500          1620124.5000000
    0.9000          1060059.7500000           351651.3437500          1060825.8750000          1694023.6250000           173473.5625000          1695304.5000000
    0.9125           990793.4375000           355708.2812500           991595.8125000          1760404.0000000           176191.9843750          1761627.6250000
    0.9250           929229.8125000           359563.1250000           930072.6875000          1816351.5000000           179634.9687500          1817517.0000000
    0.9375           875183.1875000           363158.8750000           876070.2500000          1860622.0000000           183595.1875000          1861728.7500000
    0.9500           828526.8750000           366487.4062500           829460.5625000          1892314.0000000           187904.2968750          1893362.5000000
    0.9625           789184.2500000           369582.8750000           790164.8125000          1910865.0000000           192434.7500000          1911856.1250000
    0.9750           757144.9375000           372507.5937500           758170.0000000          1916037.2500000           197094.0000000          1916972.5000000
    0.9875           732454.8125000           375334.0312500           733518.8125000          1907896.0000000           201816.5000000          1908777.6250000
    1.0000           715201.1250000           378129.0312500           716295.3125000          1886787.0000000           206556.1093750          1887617.6250000
    1.0125           705502.8750000           380941.5937500           706615.4375000          1853338.0000000           211280.1718750          1854121.0000000
    1.0250           703485.9375000           383797.3125000           704602.5625000          1808451.2500000           215965.0781250          1809190.6250000
    1.0375           709248.2500000           386698.5625000           710352.9375000          1753265.6250000           220593.3125000          1753966.1250000
    1.0500           722828.7500000           389627.7500000           723904.6875000          1689109.8750000           225151.5156250          1689776.5000000
    1.0625           744160.0000000           392555.3750000           745190.3750000          1617445.5000000           229629.2500000          1618083.3750000
    1.0750           772994.2500000           395447.3125000           773963.1875000          1539807.5000000           234018.1562500          1540422.0000000
    1.0875           808903.1250000           398271.9687500           809796.5000000          1457745.3750000           238311.6093750          1458341.6250000
    1.1000           851264.1250000           401005.7812500           852069.8125000          1372771.7500000           242504.2656250          1373354.6250000
    1.1125           899261.2500000           403636.4062500           899969.6250000          1286317.6250000           246592.0312500          1286891.8750000
    1.1250           951896.3125000           406163.5625000           952500.2500000          1199700.3750000           250571.7812500          1200270.3750000
    1.1375          1008043.9375000           408598.2187500          1008538.4375000          1114101.1250000           254441.3593750          1114670.8750000
    1.1500          1066463.5000000           410960.0937500          1066845.3750000          1030552.4375000           258199.3906250          1031125.6875000
    1.1625          1125856.3750000           413274.3750000          1126123.5000000           949935.3750000           261845.3125000           950515.6250000
    1.1750          1184902.3750000           415568.6250000          1185053.3750000           872984.5000000           265379.1875000           873574.6250000
    1.1875          1242309.1250000           417869.2812500          1242342.7500000           800297.5000000           268801.6250000           800900.1875000
    1.2000          1296845.8750000           420199.5937500          1296760.6250000           732350.1250000           272113.9062500           732967.1875000
    1.2125          1347376.1250000           422577.5937500          1347170.1250000           669512.5625000           275317.5625000           670145.1875000
    1.2250          1392884.3750000           425015.5312500          1392555.2500000           612067.0625000           278414.6562500           612715.3750000
    1.2375          1432497.6250000           427519.9375000          1432043.1250000           560224.7500000           281407.5000000           560887.8750000
    1.2500          1465491.5000000           430090.8437500          1464909.3750000           514141.3437500           284298.6875000           514816.9062500
    1.2625          1491301.7500000           432724.2187500          1490590.6250000           473930.0312500           287091.0937500           474614.2500000
    1.2750          1509528.6250000           435411.9687500          1508687.8750000           439671.3125000           289787.6875000           440358.8125000
    1.2875          1519929.2500000           438143.4062500          1518959.8750000           411420.0000000           292391.5937500           412103.7500000
    1.3000          1522405.5000000           440906.1562500          1521310.3750000           389208.4062500           294906.0625000           389879.9375000
    1.3125          1517020.1250000           443687.0312500          1515803.8750000           373046.8437500           297334.3750000           373696.1875000
    1.3250          1503960.1250000           446473.0000000          1502629.1250000           362920.9062500           299679.8437500           363536.9062500
    1.3375          1483537.8750000           449251.1562500          1482099.5000000           358786.7187500           301945.7812500           359357.1875000
    1.3500          1456198.0000000           452009.8125000          1454659.3750000           360564.1562500           304135.3750000           361076.1562500
    1.3625          1422489.6250000           454738.0000000          1420858.5000000           368128.5937500           306251.7187500           368568.7812500
    1.3750          1383063.8750000           457426.0937500          1381347.8750000           381298.4375000           308297.7500000           381653.4062500
    1.3875          1338639.7500000           460065.5937500          1336846.7500000           399819.9062500           310276.2187500           400076.5000000
    1.4000          1290001.5000000           462649.2187500          1288138.8750000           423357.9375000           312189.6250000           423503.7500000
    1.4125          1237965.1250000           465170.7812500          1236039.8750000           451490.4375000           314040.2500000           451513.8750000
    1.4250          1183366.0000000           467625.1562500          1181384.8750000           483706.1250000           315830.0312500           483596.8750000
    1.4375          1127042.3750000           470008.7500000          1125011.6250000           519407.2812500           317560.7812500           519156.2812500
    1.4500          1069809.1250000           472318.0312500          1067734.8750000           557917.1250000           319233.8750000           557516.8125000
    1.4625          1012461.6875000           474550.9375000          1010349.8750000           598492.8750000           320850.6562500           597937.0000000
    1.4750           955746.4375000           476706.1250000           953602.8125000           640342.9375000           322412.1250000           639626.9375000
    1.4875           900356.5000000           478783.1250000           898186.6250000           682648.4375000           323919.2500000           681768.8750000
    1.5000           846932.1250000           480782.0625000           844741.3125000           724585.7500000           325372.8125000           723540.4375000
    1.5125           796051.5625000           482703.8437500           793844.5625000           765349.6250000           326773.5625000           764137.5000000
    1.5250           748232.0000000           484549.8437500           746012.8125000           804174.5625000           328122.2500000           802795.3750000
    1.5375           703917.4375000           486321.9375000           701688.8750000           840353.1250000           329419.6562500           838807.4375000
    1.5500           663501.5625000           488022.2500000           661265.1250000           873251.2500000           330666.5312500           871540.2500000
    1.5625           627308.4375000           489653.2187500           625064.0625000           902319.0000000           331863.7500000           900444.5000000
    1.5750           595608.4375000           491217.2812500           593354.4375000           927098.1875000           333012.1875000           925062.5000000
    1.5875           568615.5625000           492716.9375000           566348.5625000           947226.1875000           334112.7812500           945032.2500000
    1.6000           546484.6250000           494154.5000000           544199.8125000           962437.3125000           335142.9375000           960088.3125000
    1.6125           529331.1875000           495532.1875000           527022.6875000           972561.1250000           335725.7187500           970060.8750000
    1.6250           517212.4375000           496851.8750000           514873.7187500           977519.8125000           334813.3437500           974872.5625000
    1.6375           510136.9062500           498114.4062500           507761.2812500           977323.6875000           331441.0937500           974534.0000000
    1.6500           508076.2187500           499313.1875000           505657.2187500           972065.8125000           325541.8750000           969138.8125000
    1.6625           510944.5937500           500424.0625000           508475.9687500           961917.9375000           317936.1250000           958859.2500000
    1.6750           518608.6562500           501390.4375000           516085.2500000           947129.7500000           309813.0312500           943945.6875000
    1.6875           530887.3750000           502119.9687500           528304.6250000           928024.6875000           302232.7187500           924722.1250000
    1.7000           547539.6250000           502499.0625000           544893.3125000           904993.5625000           295877.0312500           901580.3750000
    1.7125           568258.0000000           502424.2500000           565544.0000000           878486.6875000           291027.4687500           874971.2500000
    1.7250           592676.5000000           501836.4062500           589890.8750000           849002.9375000           287663.9375000           845394.1250000
    1.7375           620362.3125000           500743.3437500           617501.5000000           817077.3750000           285591.5937500           813384.6250000
    1.7500           650826.0000000           499222.7500000           647886.6875000           783268.6875000           284546.5937500           779501.5000000
    1.7625           683540.0625000           497406.3750000           680519.0625000           748146.1875000           284265.1250000           744314.1250000
    1.7750           717938.6875000           495452.6250000           714833.0625000           712278.6250000           284519.0000000           708391.0000000
    1.7875           753436.4375000           493517.3125000           750243.5625000           676223.4375000           285128.1562500           672289.1875000
    1.8000           789438.0625000           491729.5937500           786155.5000000           640518.0625000           285959.3125000           636545.5625000
    1.8125           825360.6875000           490177.0937500           821986.7500000           605672.5625000           286918.7187500           601669.4375000
    1.8250           860634.0000000           488900.9687500           857167.4375000           572163.8750000           287943.1562500           568136.9375000
    1.8375           894713.4375000           487899.3125000           891154.1875000           540430.9375000           288991.5000000           536386.0000000
    1.8500           927096.5000000           487134.5000000           923445.6250000           510871.8125000           290037.8750000           506813.6562500
    1.8625           957322.9375000           486545.8437500           953583.0625000           483841.0312500           291066.7812500           479773.4062500
    1.8750           984985.0000000           486060.8125000           981160.3750000           459648.5625000           292069.2812500           455574.1875000
    1.8875          1009737.5000000           485606.1250000          1005834.2500000           438559.0312500           293040.6250000           434479.5625000
    1.9000          1031286.8750000           485116.9687500          1027312.8750000           420791.7187500           293978.7500000           416707.9062500
    1.9125          1049400.7500000           484543.3437500          1045365.3750000           406520.6250000           294883.2187500           402432.4375000
    1.9250          1063922.1250000           483853.9375000          1059836.2500000           395875.2812500           295754.5625000           391781.9687500
    1.9375          1074738.0000000           483037.2500000          1070613.3750000           388941.0312500           296593.9062500           384841.4062500
    1.9500          1081813.0000000           482100.3437500          1077661.7500000           385755.4062500           297402.8125000           381647.8125000
    1.9625          1085163.6250000           481065.8125000          1080998.3750000           386215.4687500           298182.9375000           382097.5312500
    1.9750          1084861.0000000           479967.7187500          1080693.7500000           389929.1562500           298936.2187500           385796.6250000
    1.9875          1081035.7500000           478846.6875000          1076878.2500000           396422.7500000           299664.4687500           392269.3750000
