
Predictions were generated on 08-Sep-2022 at 14:21:33 using OpenFAST, compiled as a 64-bit application using double precision at commit v3.2.1-270-gf067eb99-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; MoorDyn (v2.a27, 2022-07-20)

Description from the FAST input file: FAST Certification Test #25: NREL 5.0 MW Baseline Wind Turbine with OC4-DeepCwind semi configuration, for use in offshore analysis

Time     B1Surge        B1Sway          B1Heave         B1Roll          B1Pitch        B1Yaw           B1TVxi          B1TVyi          B1TVzi          B1RVxi          B1RVyi          B1RVzi          B1TAxi          B1TAyi          B1TAzi          B1RAxi          B1RAyi          B1RAzi
(s)      (m)            (m)             (m)             (rad)           (rad)          (rad)           (m/s)           (m/s)           (m/s)           (rad/s)         (rad/s)         (rad/s)         (m/s^2)         (m/s^2)         (m/s^2)         (rad/s^2)       (rad/s^2)       (rad/s^2)
0.1875   4.9997311E+00  8.5625579E-06   4.0000890E-04   -4.3364977E-07  3.3049069E-02  -9.1686857E-08  -2.0087333E-03  5.1314314E-04   4.0777521E-03   -2.1113658E-05  -1.1733213E-03  -7.0030029E-07  -1.8855664E-03  1.0211147E-02   1.8689541E-02   -4.0224002E-04  -6.0578971E-03  4.3415080E-06
0.2000   4.9997058E+00  1.5760115E-05   4.5242990E-04   -7.2843147E-07  3.3033930E-02  -1.0015399E-07  -2.0311761E-03  6.3787372E-04   4.3086619E-03   -2.6030704E-05  -1.2490749E-03  -6.5757496E-07  -2.0252599E-03  9.6093742E-03   1.8268794E-02   -3.7900123E-04  -6.0770586E-03  2.1083858E-06
0.2125   4.9996800E+00  2.4458112E-05   5.0770416E-04   -1.0824241E-06  3.3017844E-02  -1.0829685E-07  -2.0545106E-03  7.5298781E-04   4.5342585E-03   -3.0583789E-05  -1.3250294E-03  -6.5053814E-07  -2.0714987E-03  8.5030915E-03   1.7820751E-02   -3.3640038E-04  -6.0856743E-03  -1.5286208E-06
0.2250   4.9996543E+00  3.4501158E-05   5.6576199E-04   -1.4897252E-06  3.3000804E-02  -1.1666310E-07  -2.0775527E-03  8.5300271E-04   4.7539799E-03   -3.4560824E-05  -1.4009840E-03  -6.9506638E-07  -1.8211947E-03  7.0671109E-03   1.7361868E-02   -2.8106623E-04  -6.0820272E-03  -6.2306576E-06
0.2375   4.9996281E+00  4.5679910E-05   6.2653096E-04   -1.9423319E-06  3.2982819E-02  -1.2596912E-07  -2.0950029E-03  9.3476503E-04   4.9680118E-03   -3.7837108E-05  -1.4768267E-03  -8.0207155E-07  -1.1547145E-03  5.5188295E-03   1.6890533E-02   -2.2123945E-04  -6.0615004E-03  -1.1508626E-05
0.2500   4.9996018E+00  5.7762765E-05   6.8993808E-04   -2.4313319E-06  3.2963883E-02  -1.3702687E-07  -2.1015014E-03  9.9784590E-04   5.1761111E-03   -4.0390649E-05  -1.5523096E-03  -9.7576810E-07  1.3771441E-05   4.0864078E-03   1.6406620E-02   -1.6556676E-04  -6.0208035E-03  -1.6796828E-05
0.2625   4.9995756E+00  7.0529990E-05   7.5590838E-04   -2.9481901E-06  3.2944012E-02  -1.5065689E-07  -2.0905980E-03  1.0445386E-03   5.3781359E-03   -4.2302450E-05  -1.6271747E-03  -1.2132469E-06  1.7239400E-03   2.9754064E-03   1.5911136E-02   -1.2183737E-04  -5.9583969E-03  -2.1535634E-05
0.2750   4.9995499E+00  8.3805295E-05   8.2436512E-04   -3.4859443E-06  3.2923210E-02  -1.6760158E-07  -2.0555654E-03  1.0794457E-03   5.5739507E-03   -4.3741278E-05  -1.7011524E-03  -1.5049944E-06  3.9747413E-03   2.3384925E-03   1.5407079E-02   -9.5836207E-05  -5.8743176E-03  -2.5251242E-05
0.2875   4.9995246E+00  9.7480064E-05   8.9523004E-04   -4.0401255E-06  3.2901488E-02  -1.8845107E-07  -1.9898284E-03  1.1087412E-03   5.7634781E-03   -4.4936143E-05  -1.7739789E-03  -1.8363123E-06  6.7173853E-03   2.2538011E-03   1.4899061E-02   -9.0523921E-05  -5.7704300E-03  -2.7627071E-05
0.3000   4.9995003E+00  1.1152696E-04   9.6842455E-04   -4.6092860E-06  3.2878865E-02  -2.1359195E-07  -1.8877509E-03  1.1392110E-03   5.9466967E-03   -4.6140201E-05  -1.8454258E-03  -2.1895985E-06  9.8665282E-03   2.7138074E-03   1.4392795E-02   -1.0561566E-04  -5.6500132E-03  -2.8549603E-05
