
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 13-Aug-2024 at 17:07:11.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.6250   3.0844986E+06   4.6903867E+05   3.0853474E+06   9.7690947E+05   1.0386727E+05   9.7798119E+05
    0.6375   3.1243247E+06   4.4894933E+05   3.1251409E+06   9.2919210E+05   1.0913062E+05   9.3032293E+05
    0.6500   3.1373684E+06   4.2984497E+05   3.1381483E+06   8.8709782E+05   1.1442668E+05   8.8828728E+05
    0.6625   3.1240754E+06   4.1201565E+05   3.1248157E+06   8.5094137E+05   1.1973488E+05   8.5218862E+05
    0.6750   3.0855884E+06   3.9569575E+05   3.0862868E+06   8.2122766E+05   1.2503853E+05   8.2253125E+05
    0.6875   3.0237064E+06   3.8105935E+05   3.0243628E+06   7.9860940E+05   1.3032433E+05   7.9996707E+05
    0.7000   2.9408381E+06   3.6821924E+05   2.9414551E+06   7.8384050E+05   1.3558199E+05   7.8524904E+05
    0.7125   2.8398898E+06   3.5722920E+05   2.8404722E+06   7.7772502E+05   1.4080402E+05   7.7918023E+05
    0.7250   2.7241197E+06   3.4808941E+05   2.7246744E+06   7.8106193E+05   1.4598561E+05   7.8255860E+05
    0.7375   2.5969637E+06   3.4075307E+05   2.5974989E+06   7.9458552E+05   1.5112444E+05   7.9611749E+05
    0.7500   2.4618743E+06   3.3513527E+05   2.4623990E+06   8.1888427E+05   1.5622051E+05   8.2044446E+05
    0.7625   2.3221554E+06   3.3112197E+05   2.3226785E+06   8.5430032E+05   1.6127591E+05   8.5588084E+05
    0.7750   2.1808409E+06   3.2857777E+05   2.1813702E+06   9.0084004E+05   1.6629450E+05   9.0243237E+05
    0.7875   2.0405885E+06   3.2735532E+05   2.0411309E+06   9.5809847E+05   1.7121968E+05   9.5969368E+05
    0.8000   1.9036265E+06   3.2730149E+05   1.9041867E+06   1.0252144E+06   1.7535001E+05   1.0268034E+06
    0.8125   1.7717433E+06   3.2826366E+05   1.7723248E+06   1.1008670E+06   1.7749868E+05   1.1024409E+06
    0.8250   1.6462734E+06   3.3009445E+05   1.6468779E+06   1.1833160E+06   1.7733078E+05   1.1848664E+06
    0.8375   1.5281650E+06   3.3265409E+05   1.5287936E+06   1.2704795E+06   1.7557874E+05   1.2719987E+06
    0.8500   1.4180015E+06   3.3580894E+05   1.4186546E+06   1.3600385E+06   1.7338404E+05   1.3615196E+06
    0.8625   1.3160920E+06   3.3942699E+05   1.3167703E+06   1.4495538E+06   1.7170578E+05   1.4509910E+06
    0.8750   1.2225273E+06   3.4337061E+05   1.2232322E+06   1.5365833E+06   1.7109093E+05   1.5379718E+06
    0.8875   1.1372341E+06   3.4749438E+05   1.1379680E+06   1.6187885E+06   1.7170697E+05   1.6201245E+06
    0.9000   1.0600597E+06   3.5165135E+05   1.0608259E+06   1.6940237E+06   1.7347356E+05   1.6953045E+06
    0.9125   9.9079342E+05   3.5570827E+05   9.9159584E+05   1.7604040E+06   1.7619199E+05   1.7616277E+06
    0.9250   9.2922978E+05   3.5956312E+05   9.3007268E+05   1.8163515E+06   1.7963496E+05   1.8175169E+06
    0.9375   8.7518318E+05   3.6315888E+05   8.7607026E+05   1.8606220E+06   1.8359519E+05   1.8617288E+06
    0.9500   8.2852688E+05   3.6648741E+05   8.2946053E+05   1.8923140E+06   1.8790430E+05   1.8933625E+06
    0.9625   7.8918423E+05   3.6958288E+05   7.9016479E+05   1.9108650E+06   1.9243475E+05   1.9118561E+06
    0.9750   7.5714493E+05   3.7250758E+05   7.5816998E+05   1.9160372E+06   1.9709400E+05   1.9169725E+06
    0.9875   7.3245482E+05   3.7533404E+05   7.3351883E+05   1.9078960E+06   2.0181650E+05   1.9087776E+06
    1.0000   7.1520115E+05   3.7812903E+05   7.1629534E+05   1.8867870E+06   2.0655612E+05   1.8876176E+06
    1.0125   7.0550288E+05   3.8094159E+05   7.0661544E+05   1.8533380E+06   2.1128017E+05   1.8541210E+06
    1.0250   7.0348592E+05   3.8379731E+05   7.0460255E+05   1.8084512E+06   2.1596507E+05   1.8091907E+06
    1.0375   7.0924825E+05   3.8669858E+05   7.1035292E+05   1.7532656E+06   2.2059331E+05   1.7539662E+06
    1.0500   7.2282878E+05   3.8962774E+05   7.2390466E+05   1.6891098E+06   2.2515152E+05   1.6897765E+06
