
This file was generated by AeroDyn14 (v14.05.00a-bjj, 11-Apr-2016) on 13-Apr-2016 at 00:25:34.




Time	VX21	VY21	VZ21	Alpha16	DynPres16	CLift16	CDrag16	CNorm16	CTang16	CMomt16	Pitch16	AxInd16	TanInd16	ForcN16	ForcT16	Pmomt16	ReNum16
(sec)	 (m/sec)	 (m/sec)	 (m/sec)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(N-m)	(x10^6)
     0.072	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69055E+00	 5.85862E+02	 4.93205E-01	 1.38541E-02	 4.93312E-01	 9.31309E-03	-4.45251E-02	 4.43400E+00	 2.39326E-01	 4.51940E-03	 2.64560E+01	 2.55466E+00	-1.09613E+00	 9.57323E-01
     0.076	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69368E+00	 5.85861E+02	 4.93563E-01	 1.38582E-02	 4.93669E-01	 9.35270E-03	-4.45326E-02	 4.43400E+00	 2.38994E-01	 4.51130E-03	 2.64749E+01	 2.55827E+00	-1.09631E+00	 9.57322E-01
     0.080	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69105E+00	 5.85862E+02	 4.93263E-01	 1.38547E-02	 4.93369E-01	 9.31945E-03	-4.45263E-02	 4.43400E+00	 2.39273E-01	 4.51815E-03	 2.64590E+01	 2.55524E+00	-1.09616E+00	 9.57323E-01
     0.084	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69326E+00	 5.85861E+02	 4.93515E-01	 1.38577E-02	 4.93621E-01	 9.34738E-03	-4.45316E-02	 4.43400E+00	 2.39039E-01	 4.51237E-03	 2.64724E+01	 2.55779E+00	-1.09628E+00	 9.57322E-01
     0.088	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69140E+00	 5.85862E+02	 4.93303E-01	 1.38552E-02	 4.93410E-01	 9.32391E-03	-4.45272E-02	 4.43400E+00	 2.39235E-01	 4.51720E-03	 2.64611E+01	 2.55565E+00	-1.09618E+00	 9.57323E-01
     0.092	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69296E+00	 5.85861E+02	 4.93481E-01	 1.38573E-02	 4.93588E-01	 9.34363E-03	-4.45309E-02	 4.43400E+00	 2.39070E-01	 4.51314E-03	 2.64706E+01	 2.55744E+00	-1.09627E+00	 9.57322E-01
     0.096	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69165E+00	 5.85862E+02	 4.93332E-01	 1.38555E-02	 4.93438E-01	 9.32705E-03	-4.45277E-02	 4.43400E+00	 2.39209E-01	 4.51654E-03	 2.64627E+01	 2.55593E+00	-1.09619E+00	 9.57323E-01
     0.100	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69275E+00	 5.85862E+02	 4.93457E-01	 1.38570E-02	 4.93564E-01	 9.34097E-03	-4.45304E-02	 4.43400E+00	 2.39092E-01	 4.51368E-03	 2.64693E+01	 2.55720E+00	-1.09625E+00	 9.57322E-01
     0.104	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69183E+00	 5.85862E+02	 4.93352E-01	 1.38558E-02	 4.93458E-01	 9.32929E-03	-4.45282E-02	 4.43400E+00	 2.39190E-01	 4.51612E-03	 2.64637E+01	 2.55614E+00	-1.09620E+00	 9.57323E-01
     0.108	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69260E+00	 5.85862E+02	 4.93441E-01	 1.38568E-02	 4.93547E-01	 9.33911E-03	-4.45300E-02	 4.43400E+00	 2.39108E-01	 4.51410E-03	 2.64684E+01	 2.55703E+00	-1.09625E+00	 9.57322E-01
