
Predictions were generated on 29-Sep-2025 at 15:44:05 using HydroDyn Driver, compiled on Sep 29 2025 at 14:49:13 as a 64-bit application using double precision at commit v4.1.2-165-g1d0ee6c2-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore baseline floating platform HydroDyn input properties for the OC4 Semi-submersible.

Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    4.6000	   2.423919E+06	   1.824270E+06	   6.219081E+05	   4.299545E+06	  -6.609714E+07	   1.435345E+07
    4.7000	   2.228338E+06	   1.650487E+06	   7.042561E+05	  -7.852946E+05	  -6.230119E+07	   7.166540E+06
    4.8000	   2.020243E+06	   1.467362E+06	   7.793854E+05	  -5.832620E+06	  -5.812032E+07	  -1.042946E+05
    4.9000	   1.801331E+06	   1.276376E+06	   8.470433E+05	  -1.081026E+07	  -5.358337E+07	  -7.401312E+06
    5.0000	   1.573330E+06	   1.079030E+06	   9.070346E+05	  -1.568647E+07	  -4.872169E+07	  -1.466774E+07
    5.1000	   1.337978E+06	   8.768349E+05	   9.592182E+05	  -2.043016E+07	  -4.356889E+07	  -2.184817E+07
    5.2000	   1.097011E+06	   6.712976E+05	   1.003500E+06	  -2.501104E+07	  -3.816053E+07	  -2.888889E+07
    5.3000	   8.521605E+05	   4.639166E+05	   1.039836E+06	  -2.939972E+07	  -3.253381E+07	  -3.573828E+07
    5.4000	   6.051362E+05	   2.561680E+05	   1.068222E+06	  -3.356813E+07	  -2.672715E+07	  -4.234718E+07
    5.5000	   3.576171E+05	   4.950138E+04	   1.088697E+06	  -3.748943E+07	  -2.077995E+07	  -4.866896E+07
    5.6000	   1.112478E+05	  -1.546689E+05	   1.101339E+06	  -4.113842E+07	  -1.473235E+07	  -5.465980E+07
    5.7000	  -1.323727E+05	  -3.549701E+05	   1.106259E+06	  -4.449148E+07	  -8.624701E+06	  -6.027903E+07
    5.8000	  -3.716943E+05	  -5.500755E+05	   1.103606E+06	  -4.752689E+07	  -2.497496E+06	  -6.548900E+07
    5.9000	  -6.052224E+05	  -7.387109E+05	   1.093561E+06	  -5.022506E+07	   3.609099E+06	  -7.025536E+07
    6.0000	  -8.315261E+05	  -9.196591E+05	   1.076336E+06	  -5.256845E+07	   9.655421E+06	  -7.454713E+07
    6.1000	  -1.049237E+06	  -1.091763E+06	   1.052177E+06	  -5.454192E+07	   1.560267E+07	  -7.833670E+07
    6.2000	  -1.257052E+06	  -1.253928E+06	   1.021360E+06	  -5.613268E+07	   2.141307E+07	  -8.159993E+07
    6.3000	  -1.453751E+06	  -1.405136E+06	   9.841918E+05	  -5.733066E+07	   2.705015E+07	  -8.431602E+07
    6.4000	  -1.638183E+06	  -1.544429E+06	   9.410099E+05	  -5.812820E+07	   3.247900E+07	  -8.646790E+07
    6.5000	  -1.809278E+06	  -1.670932E+06	   8.921829E+05	  -5.852045E+07	   3.766628E+07	  -8.804176E+07
    6.6000	  -1.966052E+06	  -1.783844E+06	   8.381098E+05	  -5.850532E+07	   4.258078E+07	  -8.902731E+07
    6.7000	  -2.107602E+06	  -1.882449E+06	   7.792206E+05	  -5.808349E+07	   4.719306E+07	  -8.941774E+07
    6.8000	  -2.233119E+06	  -1.966111E+06	   7.159761E+05	  -5.725842E+07	   5.147606E+07	  -8.920963E+07
    6.9000	  -2.341890E+06	  -2.034287E+06	   6.488667E+05	  -5.603634E+07	   5.540491E+07	  -8.840299E+07
    7.0000	  -2.433286E+06	  -2.086520E+06	   5.784132E+05	  -5.442622E+07	   5.895714E+07	  -8.700109E+07
    7.1000	  -2.506792E+06	  -2.122450E+06	   5.051640E+05	  -5.243977E+07	   6.211275E+07	  -8.501075E+07
