# r/R_[-],Alpha_[deg],Cl_[-]
4.059947411461983574e-04,4.179056254316283692e+00,4.582847999999999922e-01
3.594815343585011473e-03,4.266238472066067544e+00,4.678454000000000224e-01
1.008772582106658502e-02,4.323513412076591678e+00,4.741263000000000005e-01
1.973244980442041482e-02,4.337605770224669754e+00,4.756716999999999751e-01
3.248677017485661345e-02,4.342626640158882445e+00,4.762222999999999873e-01
4.827137186340921954e-02,4.344846182007751523e+00,4.764656999999999920e-01
6.698486229485238475e-02,4.345966895620019699e+00,4.765885999999999734e-01
8.850624573822499230e-02,4.346587893154563176e+00,4.766566999999999887e-01
1.126961126979149908e-01,4.346959944540897958e+00,4.766974999999999962e-01
1.393976657849612111e-01,4.347194300438663284e+00,4.767232000000000136e-01
1.684377810244939988e-01,4.347346586177676997e+00,4.767398999999999942e-01
1.996281492076898145e-01,4.347448717930788575e+00,4.767510999999999832e-01
2.327665057608327981e-01,4.347520757292358873e+00,4.767589999999999884e-01
2.676379468374613935e-01,4.347571823168913774e+00,4.767645999999999828e-01
3.040163253768766172e-01,4.347607386904372540e+00,4.767684999999999840e-01
3.416657190749823325e-01,4.347632007951997224e+00,4.767712000000000061e-01
3.803419612195617638e-01,4.347650245765053434e+00,4.767732000000000081e-01
4.197942246996761995e-01,4.347662100343539393e+00,4.767744999999999900e-01
4.597666490429127562e-01,4.347668483578109644e+00,4.767752000000000101e-01
5.000000000000000000e-01,4.347670307359415176e+00,4.767754000000000159e-01
5.402333509570873549e-01,4.347668483578109644e+00,4.767752000000000101e-01
5.802057753003238005e-01,4.347662100343539393e+00,4.767744999999999900e-01
6.196580387804381251e-01,4.347650245765053434e+00,4.767732000000000081e-01
6.583342809250176675e-01,4.347632007951997224e+00,4.767712000000000061e-01
6.959836746231234939e-01,4.347607386904372540e+00,4.767684999999999840e-01
7.323620531625389951e-01,4.347571823168913774e+00,4.767645999999999828e-01
7.672334942391673129e-01,4.347520757292358873e+00,4.767589999999999884e-01
8.003718507923102132e-01,4.347448717930788575e+00,4.767510999999999832e-01
8.315622189755063065e-01,4.347346586177676997e+00,4.767398999999999942e-01
8.606023342150390665e-01,4.347194300438663284e+00,4.767232000000000136e-01
8.873038873020849815e-01,4.346959944540897958e+00,4.766974999999999962e-01
9.114937542617749244e-01,4.346587893154563176e+00,4.766566999999999887e-01
9.330151377051475459e-01,4.345966895620019699e+00,4.765885999999999734e-01
9.517286281365908707e-01,4.344846182007751523e+00,4.764656999999999920e-01
9.675132298251434282e-01,4.342626640158882445e+00,4.762222999999999873e-01
9.802675501955796511e-01,4.337605770224669754e+00,4.756716999999999751e-01
9.899122741789335711e-01,4.323513412076591678e+00,4.741263000000000005e-01
9.964051846564151438e-01,4.266238472066067544e+00,4.678454000000000224e-01
9.995940052588536684e-01,4.179056254316283692e+00,4.582847999999999922e-01
