
These predictions were generated by SubDyn on 27-Nov-2023 at 17:00:45.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    1.3000	 8.7378E-09	 9.0385E-03
    1.3100	 8.9773E-09	 9.2274E-03
    1.3200	 9.2198E-09	 9.4184E-03
    1.3300	 9.4653E-09	 9.6115E-03
    1.3400	 9.7139E-09	 9.8067E-03
    1.3500	 9.9655E-09	 1.0004E-02
    1.3600	 1.0220E-08	 1.0203E-02
    1.3700	 1.0478E-08	 1.0405E-02
    1.3800	 1.0738E-08	 1.0608E-02
    1.3900	 1.1002E-08	 1.0814E-02
    1.4000	 1.1269E-08	 1.1022E-02
    1.4100	 1.1538E-08	 1.1231E-02
    1.4200	 1.1811E-08	 1.1443E-02
    1.4300	 1.2086E-08	 1.1657E-02
    1.4400	 1.2365E-08	 1.1873E-02
    1.4500	 1.2646E-08	 1.2091E-02
    1.4600	 1.2930E-08	 1.2311E-02
    1.4700	 1.3217E-08	 1.2533E-02
    1.4800	 1.3507E-08	 1.2756E-02
    1.4900	 1.3800E-08	 1.2982E-02
    1.5000	 1.4095E-08	 1.3210E-02
    1.5100	 1.4394E-08	 1.3440E-02
    1.5200	 1.4695E-08	 1.3671E-02
    1.5300	 1.4999E-08	 1.3905E-02
    1.5400	 1.5305E-08	 1.4140E-02
    1.5500	 1.5615E-08	 1.4378E-02
    1.5600	 1.5927E-08	 1.4617E-02
    1.5700	 1.6242E-08	 1.4858E-02
    1.5800	 1.6559E-08	 1.5101E-02
    1.5900	 1.6879E-08	 1.5346E-02
    1.6000	 1.7202E-08	 1.5592E-02
    1.6100	 1.7528E-08	 1.5841E-02
    1.6200	 1.7856E-08	 1.6091E-02
    1.6300	 1.8186E-08	 1.6343E-02
    1.6400	 1.8519E-08	 1.6597E-02
    1.6500	 1.8855E-08	 1.6852E-02
    1.6600	 1.9193E-08	 1.7109E-02
    1.6700	 1.9533E-08	 1.7368E-02
    1.6800	 1.9876E-08	 1.7629E-02
    1.6900	 2.0221E-08	 1.7891E-02
    1.7000	 2.0569E-08	 1.8155E-02
    1.7100	 2.0919E-08	 1.8421E-02
    1.7200	 2.1272E-08	 1.8688E-02
    1.7300	 2.1626E-08	 1.8956E-02
    1.7400	 2.1983E-08	 1.9227E-02
    1.7500	 2.2342E-08	 1.9499E-02
    1.7600	 2.2704E-08	 1.9772E-02
    1.7700	 2.3067E-08	 2.0047E-02
    1.7800	 2.3433E-08	 2.0323E-02
    1.7900	 2.3801E-08	 2.0601E-02
    1.8000	 2.4171E-08	 2.0880E-02
    1.8100	 2.4543E-08	 2.1161E-02
    1.8200	 2.4917E-08	 2.1443E-02
    1.8300	 2.5293E-08	 2.1727E-02
    1.8400	 2.5671E-08	 2.2011E-02
    1.8500	 2.6051E-08	 2.2298E-02
    1.8600	 2.6432E-08	 2.2585E-02
    1.8700	 2.6816E-08	 2.2874E-02
    1.8800	 2.7201E-08	 2.3164E-02
    1.8900	 2.7589E-08	 2.3455E-02
    1.9000	 2.7978E-08	 2.3748E-02
    1.9100	 2.8369E-08	 2.4042E-02
    1.9200	 2.8761E-08	 2.4336E-02
    1.9300	 2.9155E-08	 2.4633E-02
    1.9400	 2.9551E-08	 2.4930E-02
    1.9500	 2.9948E-08	 2.5228E-02
    1.9600	 3.0347E-08	 2.5527E-02
    1.9700	 3.0747E-08	 2.5828E-02
    1.9800	 3.1149E-08	 2.6129E-02
    1.9900	 3.1552E-08	 2.6431E-02
    2.0000	 3.1957E-08	 2.6735E-02
    2.0100	 3.2363E-08	 2.7039E-02
    2.0200	 3.2770E-08	 2.7344E-02
    2.0300	 3.3179E-08	 2.7650E-02
    2.0400	 3.3589E-08	 2.7957E-02
    2.0500	 3.4000E-08	 2.8265E-02
    2.0600	 3.4412E-08	 2.8574E-02
    2.0700	 3.4826E-08	 2.8883E-02
    2.0800	 3.5240E-08	 2.9194E-02
    2.0900	 3.5656E-08	 2.9504E-02
    2.1000	 3.6072E-08	 2.9816E-02
    2.1100	 3.6490E-08	 3.0128E-02
    2.1200	 3.6908E-08	 3.0441E-02
    2.1300	 3.7328E-08	 3.0755E-02
    2.1400	 3.7748E-08	 3.1069E-02
    2.1500	 3.8169E-08	 3.1384E-02
    2.1600	 3.8591E-08	 3.1699E-02
    2.1700	 3.9013E-08	 3.2015E-02
    2.1800	 3.9437E-08	 3.2331E-02
    2.1900	 3.9860E-08	 3.2648E-02
    2.2000	 4.0285E-08	 3.2965E-02
    2.2100	 4.0710E-08	 3.3282E-02
    2.2200	 4.1136E-08	 3.3600E-02
    2.2300	 4.1562E-08	 3.3918E-02
    2.2400	 4.1988E-08	 3.4237E-02
    2.2500	 4.2415E-08	 3.4556E-02
    2.2600	 4.2842E-08	 3.4875E-02
    2.2700	 4.3270E-08	 3.5194E-02
    2.2800	 4.3698E-08	 3.5513E-02
    2.2900	 4.4126E-08	 3.5833E-02
    2.3000	 4.4554E-08	 3.6153E-02
    2.3100	 4.4983E-08	 3.6473E-02
    2.3200	 4.5412E-08	 3.6792E-02
    2.3300	 4.5840E-08	 3.7112E-02
    2.3400	 4.6269E-08	 3.7433E-02
    2.3500	 4.6698E-08	 3.7753E-02
    2.3600	 4.7126E-08	 3.8072E-02
    2.3700	 4.7555E-08	 3.8392E-02
    2.3800	 4.7983E-08	 3.8712E-02
    2.3900	 4.8411E-08	 3.9032E-02
    2.4000	 4.8839E-08	 3.9351E-02
    2.4100	 4.9267E-08	 3.9671E-02
    2.4200	 4.9694E-08	 3.9990E-02
    2.4300	 5.0121E-08	 4.0309E-02
    2.4400	 5.0548E-08	 4.0627E-02
    2.4500	 5.0974E-08	 4.0946E-02
    2.4600	 5.1400E-08	 4.1264E-02
    2.4700	 5.1825E-08	 4.1581E-02
    2.4800	 5.2250E-08	 4.1899E-02
    2.4900	 5.2674E-08	 4.2215E-02
    2.5000	 5.3098E-08	 4.2532E-02
    2.5100	 5.3520E-08	 4.2848E-02
    2.5200	 5.3943E-08	 4.3163E-02
    2.5300	 5.4364E-08	 4.3478E-02
    2.5400	 5.4784E-08	 4.3792E-02
    2.5500	 5.5204E-08	 4.4106E-02
    2.5600	 5.5623E-08	 4.4419E-02
    2.5700	 5.6041E-08	 4.4732E-02
    2.5800	 5.6458E-08	 4.5044E-02
    2.5900	 5.6874E-08	 4.5355E-02
    2.6000	 5.7288E-08	 4.5665E-02
    2.6100	 5.7702E-08	 4.5975E-02
    2.6200	 5.8115E-08	 4.6284E-02
    2.6300	 5.8526E-08	 4.6592E-02
    2.6400	 5.8937E-08	 4.6899E-02
    2.6500	 5.9346E-08	 4.7206E-02
    2.6600	 5.9754E-08	 4.7511E-02
    2.6700	 6.0160E-08	 4.7816E-02
    2.6800	 6.0565E-08	 4.8120E-02
    2.6900	 6.0969E-08	 4.8422E-02
    2.7000	 6.1371E-08	 4.8724E-02
    2.7100	 6.1772E-08	 4.9025E-02
    2.7200	 6.2172E-08	 4.9324E-02
    2.7300	 6.2569E-08	 4.9623E-02
    2.7400	 6.2966E-08	 4.9921E-02
    2.7500	 6.3360E-08	 5.0217E-02
    2.7600	 6.3753E-08	 5.0512E-02
    2.7700	 6.4145E-08	 5.0807E-02
    2.7800	 6.4534E-08	 5.1099E-02
    2.7900	 6.4922E-08	 5.1391E-02
    2.8000	 6.5308E-08	 5.1682E-02
    2.8100	 6.5693E-08	 5.1971E-02
    2.8200	 6.6075E-08	 5.2259E-02
    2.8300	 6.6456E-08	 5.2546E-02
    2.8400	 6.6834E-08	 5.2831E-02
    2.8500	 6.7211E-08	 5.3115E-02
    2.8600	 6.7586E-08	 5.3397E-02
    2.8700	 6.7958E-08	 5.3679E-02
    2.8800	 6.8329E-08	 5.3959E-02
    2.8900	 6.8698E-08	 5.4237E-02
    2.9000	 6.9064E-08	 5.4514E-02
    2.9100	 6.9428E-08	 5.4789E-02
    2.9200	 6.9791E-08	 5.5063E-02
    2.9300	 7.0151E-08	 5.5335E-02
    2.9400	 7.0508E-08	 5.5606E-02
    2.9500	 7.0864E-08	 5.5876E-02
    2.9600	 7.1217E-08	 5.6143E-02
    2.9700	 7.1568E-08	 5.6409E-02
    2.9800	 7.1916E-08	 5.6674E-02
    2.9900	 7.2263E-08	 5.6937E-02
    3.0000	 7.2606E-08	 5.7198E-02
    3.0100	 7.2948E-08	 5.7457E-02
    3.0200	 7.3287E-08	 5.7715E-02
    3.0300	 7.3623E-08	 5.7971E-02
    3.0400	 7.3957E-08	 5.8226E-02
    3.0500	 7.4288E-08	 5.8478E-02
    3.0600	 7.4617E-08	 5.8729E-02
    3.0700	 7.4943E-08	 5.8978E-02
    3.0800	 7.5267E-08	 5.9225E-02
