
These predictions were generated by SubDyn on 28-Jan-2021 at 17:18:35.




    Time	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	   IntfFXss	   IntfFZss	   IntfMYss	   IntfMZss	  M1N1TDxss	  M1N1TDyss	  M1N1TDzss	   M1N1RDxe	   M1N1RDye	   M1N1RDze	   M1N1TAxe	   M1N1TAye	   M1N1TAze	   M1N1RAxe	   M1N1RAye	   M1N1RAze	   M1N1FKxe	   M1N1FKye	   M1N1FKze	   M1N1MKxe	   M1N1MKye	   M1N1MKze	   M1N1FMye	  M2N1TDxss	  M2N1TDyss	  M2N1TDzss	   M2N1RDxe	   M2N1RDye	   M2N1RDze	   M2N1TAxe	   M2N1TAye	   M2N1TAze	   M2N1FKxe	   M2N1FKye	   M2N1FKze	   M2N1MKxe	   M2N1MKye	   M2N1MKze	   M2N1FMye	  M2N2TDxss	  M2N2TDyss	  M2N2TDzss	   M2N2RDxe	   M2N2RDye	   M2N2RDze	   M2N2TAxe	   M2N2TAye	   M2N2TAze	   M2N2FKxe	   M2N2FKye	   M2N2FKze	   M2N2MKxe	   M2N2MKye	   M2N2MKze
       s	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	        (N)	        (N)	       (Nm)	       (Nm)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)
    0.4500	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 5.2237E+06	 5.2062E+07	 8.9984E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.5252E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 8.6435E+07	-0.0000E+00	-0.0000E+00	-2.7176E+00	 1.2000E+01	 1.0828E+00	 0.0000E+00	-1.7354E-01	 0.0000E+00	 1.0334E+00	 0.0000E+00	 1.8032E-01	-4.7057E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-2.2938E+07	-0.0000E+00	-0.0000E+00	-4.0016E+00	 1.2000E+01	 1.1933E+00	 0.0000E+00	-1.7400E-01	 0.0000E+00	 1.3411E+00	 0.0000E+00	 2.3402E-01	-5.1121E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-1.9389E+07	 0.0000E+00
    0.5000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 5.1229E+06	 5.2079E+07	 9.8124E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.6275E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 9.4325E+07	-0.0000E+00	-0.0000E+00	-2.6805E+00	 1.2000E+01	 1.0763E+00	 0.0000E+00	-1.7300E-01	 0.0000E+00	 8.7979E-01	 0.0000E+00	 1.5352E-01	-3.1336E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-2.7598E+07	-0.0000E+00	-0.0000E+00	-3.9609E+00	 1.2000E+01	 1.1862E+00	 0.0000E+00	-1.7356E-01	 0.0000E+00	 1.1236E+00	 0.0000E+00	 1.9607E-01	-3.8338E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-2.5231E+07	 0.0000E+00
    0.5500	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 5.0611E+06	 5.2090E+07	 1.0580E+08	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.6893E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.0174E+08	-0.0000E+00	-0.0000E+00	-2.6413E+00	 1.2000E+01	 1.0695E+00	 0.0000E+00	-1.7237E-01	 0.0000E+00	 7.2659E-01	 0.0000E+00	 1.2679E-01	-1.2214E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-3.2186E+07	-0.0000E+00	-0.0000E+00	-3.9174E+00	 1.2000E+01	 1.1786E+00	 0.0000E+00	-1.7305E-01	 0.0000E+00	 8.8974E-01	 0.0000E+00	 1.5526E-01	-2.2390E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-3.1258E+07	 0.0000E+00
    0.6000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 5.0002E+06	 5.2101E+07	 1.1368E+08	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.7490E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.0935E+08	-0.0000E+00	-0.0000E+00	-2.6002E+00	 1.2000E+01	 1.0623E+00	 0.0000E+00	-1.7169E-01	 0.0000E+00	 5.7612E-01	 0.0000E+00	 1.0053E-01	 7.2088E+04	-0.0000E+00	 2.4788E+07	-0.0000E+00	-3.6551E+07	-0.0000E+00	-0.0000E+00	-3.8717E+00	 1.2000E+01	 1.1707E+00	 0.0000E+00	-1.7248E-01	 0.0000E+00	 6.5886E-01	 0.0000E+00	 1.1497E-01	-6.1178E+04	 0.0000E+00	 2.3483E+07	 0.0000E+00	-3.7085E+07	 0.0000E+00
    0.6500	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 4.9071E+06	 5.2117E+07	 1.2232E+08	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.8402E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.1772E+08	-0.0000E+00	-0.0000E+00	-2.5577E+00	 1.2000E+01	 1.0549E+00	 0.0000E+00	-1.7099E-01	 0.0000E+00	 4.3081E-01	 0.0000E+00	 7.5177E-02	 2.4169E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-4.0546E+07	-0.0000E+00	-0.0000E+00	-3.8243E+00	 1.2000E+01	 1.1624E+00	 0.0000E+00	-1.7188E-01	 0.0000E+00	 4.4834E-01	 0.0000E+00	 7.8235E-02	 7.9543E+04	 0.0000E+00	 2.3483E+07	 0.0000E+00	-4.2356E+07	 0.0000E+00
    0.7000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 4.7584E+06	 5.2143E+07	 1.3212E+08	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.9873E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.2724E+08	-0.0000E+00	-0.0000E+00	-2.5141E+00	 1.2000E+01	 1.0473E+00	 0.0000E+00	-1.7029E-01	 0.0000E+00	 2.9317E-01	 0.0000E+00	 5.1159E-02	 3.6572E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-4.4034E+07	-0.0000E+00	-0.0000E+00	-3.7758E+00	 1.2000E+01	 1.1539E+00	 0.0000E+00	-1.7126E-01	 0.0000E+00	 2.7187E-01	 0.0000E+00	 4.7441E-02	 1.7919E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-4.6776E+07	 0.0000E+00
    0.7500	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 4.5360E+06	 5.2182E+07	 1.4335E+08	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.2089E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.3821E+08	-0.0000E+00	-0.0000E+00	-2.4697E+00	 1.2000E+01	 1.0396E+00	 0.0000E+00	-1.6960E-01	 0.0000E+00	 1.6565E-01	 0.0000E+00	 2.8906E-02	 4.2748E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-4.6889E+07	-0.0000E+00	-0.0000E+00	-3.7266E+00	 1.2000E+01	 1.1453E+00	 0.0000E+00	-1.7063E-01	 0.0000E+00	 1.4065E-01	 0.0000E+00	 2.4544E-02	 2.2265E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-5.0094E+07	 0.0000E+00
    0.8000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 4.2420E+06	 5.2233E+07	 1.5593E+08	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.5041E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.5054E+08	-0.0000E+00	-0.0000E+00	-2.4250E+00	 1.2000E+01	 1.0317E+00	 0.0000E+00	-1.6892E-01	 0.0000E+00	 5.0924E-02	 0.0000E+00	 8.8862E-03	 4.2431E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-4.9005E+07	-0.0000E+00	-0.0000E+00	-3.6770E+00	 1.2000E+01	 1.1367E+00	 0.0000E+00	-1.7000E-01	 0.0000E+00	 5.8301E-02	 0.0000E+00	 1.0173E-02	 2.0777E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-5.2185E+07	 0.0000E+00
    0.8500	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 3.8969E+06	 5.2293E+07	 1.6939E+08	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 4.8524E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.6379E+08	-0.0000E+00	-0.0000E+00	-2.3801E+00	 1.2000E+01	 1.0239E+00	 0.0000E+00	-1.6825E-01	 0.0000E+00	-4.8143E-02	 0.0000E+00	-8.4010E-03	 3.6755E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-5.0300E+07	-0.0000E+00	-0.0000E+00	-3.6273E+00	 1.2000E+01	 1.1280E+00	 0.0000E+00	-1.6936E-01	 0.0000E+00	 2.0927E-02	 0.0000E+00	 3.6517E-03	 1.4543E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-5.3049E+07	 0.0000E+00
    0.9000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 3.5283E+06	 5.2358E+07	 1.8316E+08	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 5.2264E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.7741E+08	-0.0000E+00	-0.0000E+00	-2.3353E+00	 1.2000E+01	 1.0161E+00	 0.0000E+00	-1.6757E-01	 0.0000E+00	-1.2893E-01	 0.0000E+00	-2.2499E-02	 2.7370E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-5.0709E+07	-0.0000E+00	-0.0000E+00	-3.5775E+00	 1.2000E+01	 1.1193E+00	 0.0000E+00	-1.6867E-01	 0.0000E+00	 2.1637E-02	 0.0000E+00	 3.7757E-03	 5.1219E+04	 0.0000E+00	 2.3483E+07	 0.0000E+00	-5.2749E+07	 0.0000E+00
