





     Time        HydroFxi        HydroFyi        HydroFzi        HydroMxi        HydroMyi        HydroMzi        M1N1FDxi        M1N1FDyi        M1N2FDxi        M1N2FDyi        M1N3FDxi        M1N3FDyi        M1N4FDxi        M1N4FDyi        M1N5FDxi        M1N5FDyi        M1N6FDxi        M1N6FDyi        M1N7FDxi        M1N7FDyi        M1N8FDxi        M1N8FDyi        M1N9FDxi        M1N9FDyi        M1N1FIxi        M1N1FIyi        M1N2FIxi        M1N2FIyi        M1N3FIxi        M1N3FIyi        M1N4FIxi        M1N4FIyi        M1N5FIxi        M1N5FIyi        M1N6FIxi        M1N6FIyi        M1N7FIxi        M1N7FIyi        M1N8FIxi        M1N8FIyi        M1N9FIxi        M1N9FIyi        J1FDzi          J1FIzi
     (sec)         (N)             (N)             (N)            (N-m)           (N-m)           (N-m)            (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
     0.00  -8.3278782e+05  -2.6804592e+06   2.3106867e+07  -2.2452633e+07   7.2936209e+06   0.0000000e+00  -1.6831367e+03  -3.9812397e+02  -1.8226651e+03  -4.0548422e+02  -1.9703759e+03  -4.0703673e+02  -2.1262065e+03  -4.0119574e+02  -2.3741091e+03  -3.9838266e+02  -3.3738151e+03  -4.6959013e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.5038973e+04  -1.5331695e+05  -4.6058083e+04  -1.6001596e+05  -4.7002423e+04  -1.6709860e+05  -4.7850732e+04  -1.7458874e+05  -5.0257592e+04  -1.8903303e+05  -6.6190430e+04  -2.5962295e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.3776519e+05   2.3242945e+05
     0.10  -7.2224554e+05  -2.6913600e+06   2.3166466e+07  -2.2246968e+07   6.2988344e+06   0.0000000e+00  -1.8128926e+03  -5.8748533e+02  -1.9597804e+03  -6.0899721e+02  -2.1145798e+03  -6.2546614e+02  -2.2770080e+03  -6.3531227e+02  -2.4466352e+03  -6.3668249e+02  -4.0701166e+03  -9.4260512e+02  -2.7631253e+00  -5.9359851e-01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.8449431e+04  -1.5351540e+05  -3.9314537e+04  -1.6062386e+05  -4.0120787e+04  -1.6818830e+05  -4.0850833e+04  -1.7624283e+05  -4.1484284e+04  -1.8482372e+05  -6.3888060e+04  -2.9888802e+05  -4.1459951e+01  -1.9973904e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.2889075e+05   3.0090222e+05
     0.20  -6.0900278e+05  -2.6918570e+06   2.3223269e+07  -2.1955586e+07   5.2862066e+06   0.0000000e+00  -1.9437315e+03  -7.9453756e+02  -2.0986614e+03  -8.3191788e+02  -2.2614331e+03  -8.6516683e+02  -2.4315831e+03  -8.9270051e+02  -2.6084456e+03  -9.1265373e+02  -4.5142706e+03  -1.4587934e+03  -2.2606134e+02  -6.9644551e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -3.1772659e+04  -1.5303843e+05  -3.2488759e+04  -1.6051326e+05  -3.3163483e+04  -1.6851316e+05  -3.3783669e+04  -1.7708232e+05  -3.4333741e+04  -1.8626841e+05  -5.5153008e+04  -3.1543348e+05  -2.6487896e+03  -1.5615556e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.1952482e+05   3.6707197e+05
     0.30  -4.9336588e+05  -2.6812281e+06   2.3277204e+07  -2.1576240e+07   4.2588765e+06   0.0000000e+00  -2.0732856e+03  -1.0189070e+03  -2.2368841e+03  -1.0741141e+03  -2.4084839e+03  -1.1263293e+03  -2.5874921e+03  -1.1739736e+03  -2.7730662e+03  -1.2151693e+03  -4.6913399e+03  -1.9444370e+03  -7.6566651e+02  -3.0663434e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.5024014e+04  -1.5185326e+05  -2.5594584e+04  -1.5964505e+05  -2.6142437e+04  -1.6802685e+05  -2.6658820e+04  -1.7705257e+05  -2.7133227e+04  -1.8678094e+05  -4.2821376e+04  -3.1103509e+05  -6.7112453e+03  -5.0331275e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.0979252e+05   4.3073860e+05
     0.40  -3.7564097e+05  -2.6587794e+06   2.3328209e+07  -2.1107642e+07   3.2200439e+06   0.0000000e+00  -2.1990871e+03  -1.2595417e+03  -2.3718698e+03  -1.3347079e+03  -2.5530565e+03  -1.4083278e+03  -2.7419832e+03  -1.4788569e+03  -2.9377007e+03  -1.5444316e+03  -4.6635542e+03  -2.3579478e+03  -1.5531230e+03  -7.6491862e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.8218567e+04  -1.4993174e+05  -1.8645448e+04  -1.5798516e+05  -1.9069055e+04  -1.6668848e+05  -1.9485198e+04  -1.7610487e+05  -1.9888627e+04  -1.8630362e+05  -2.9679841e+04  -2.9253783e+05  -9.5024760e+03  -9.6808379e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   9.9823063e+04   4.9171291e+05
     0.50  -2.5613556e+05  -2.6238600e+06   2.3376238e+07  -2.0549069e+07   2.1729428e+06   0.0000000e+00  -2.3186283e+03  -1.5147408e+03  -2.5009530e+03  -1.6120897e+03  -2.6923270e+03  -1.7097117e+03  -2.8920778e+03  -1.8061492e+03  -3.0992248e+03  -1.8996060e+03  -4.5012397e+03  -2.6859171e+03  -2.5088998e+03  -1.4665977e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.1371240e+04  -1.4725091e+05  -1.1654576e+04  -1.5550520e+05  -1.1954445e+04  -1.6446335e+05  -1.2271314e+04  -1.7419723e+05  -1.2605305e+04  -1.8478610e+05  -1.7437862e+04  -2.6644990e+05  -9.3877088e+03  -1.4783023e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   8.9747840e+04   5.4981726e+05
     0.60  -1.3516050e+05  -2.5758784e+06   2.3421258e+07  -1.9900417e+07   1.1208516e+06   0.0000000e+00  -2.4294161e+03  -1.7821932e+03  -2.6214435e+03  -1.9039453e+03  -2.8233952e+03  -2.0282178e+03  -3.0346534e+03  -2.1537113e+03  -3.2542827e+03  -2.2787772e+03  -4.2788138e+03  -2.9433776e+03  -3.5463279e+03  -2.4009264e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -4.4969560e+03  -1.4379351e+05  -4.6351597e+03  -1.5218298e+05  -4.8096421e+03  -1.6132360e+05  -5.0255586e+03  -1.7129521e+05  -5.2884410e+03  -1.8218627e+05  -6.8817454e+03  -2.3845930e+05  -5.6700414e+03  -1.9700395e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   7.9698494e+04   6.0488631e+05
     0.70  -1.3032382e+04  -2.5143194e+06   2.3463245e+07  -1.9162249e+07   6.7101090e+04   0.0000000e+00  -2.5290226e+03  -2.0590248e+03  -2.7306851e+03  -2.2072975e+03  -2.9433530e+03  -2.3608004e+03  -3.1665241e+03  -2.5184811e+03  -3.3993831e+03  -2.6789410e+03  -4.0689582e+03  -3.1710507e+03  -4.5775257e+03  -3.5257896e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   2.3892076e+03  -1.3954840e+05   2.3994503e+03  -1.4800311e+05   2.3541535e+03  -1.5724880e+05   2.2435134e+03  -1.6737253e+05   2.0566222e+03  -1.7847106e+05   1.9419121e+03  -2.1304419e+05   1.5921828e+03  -2.3917042e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.9804930e+04   6.5676763e+05
     0.80   1.0992345e+05  -2.4387623e+06   2.3502188e+07  -1.8335824e+07  -9.8491846e+05   0.0000000e+00  -2.6151338e+03  -2.3418567e+03  -2.8261120e+03  -2.5185608e+03  -3.0493506e+03  -2.7036816e+03  -3.2845197e+03  -2.8965145e+03  -3.5309936e+03  -3.0960316e+03  -3.9356512e+03  -3.4288775e+03  -5.5206410e+03  -4.7730419e+03   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   9.2718728e+03  -1.3451094e+05   9.4355545e+03  -1.4295736e+05   9.5253446e+03  -1.5222651e+05   9.5268957e+03  -1.6241175e+05   9.4240356e+03  -1.7361715e+05   9.5234497e+03  -1.9321420e+05   1.1786916e+04  -2.7068476e+05   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   6.0193338e+04   7.0532230e+05
