
Predictions were generated on 08-Jul-2024 at 15:43:25 using HydroDyn Driver, compiled on Jul  8 2024 at 15:37:46 as a 64-bit application using double precision at commit -128-NOTFOUND
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore fixed-bottom HydroDyn input properties for the OC4 Jacket.

Time	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi
(s)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
    0.4000	  -2.290987E-01	   3.870074E+05	   1.211965E+05	   2.900807E+06	   2.701086E+06	  -1.235945E+07	  -4.522242E+05
    0.4100	  -2.313651E-01	   4.514058E+05	   1.747763E+05	   2.909819E+06	   3.996846E+06	  -1.437256E+07	  -2.901791E+05
    0.4200	  -2.336314E-01	   3.293846E+05	   1.520057E+05	   2.916166E+06	   3.080171E+06	  -1.099982E+07	  -1.200490E+05
    0.4300	  -2.358977E-01	   1.352208E+05	   6.882123E+04	   2.918992E+06	   4.279668E+05	  -5.565632E+06	   5.036536E+04
    0.4400	  -2.381641E-01	   1.626455E+04	  -1.893241E+04	   2.917961E+06	  -2.323383E+06	  -2.352054E+06	   2.125008E+05
    0.4500	  -2.404304E-01	   6.124335E+04	  -5.632545E+04	   2.913254E+06	  -3.568652E+06	  -3.929582E+06	   3.576988E+05
    0.4600	  -2.426968E-01	   2.376382E+05	  -2.718433E+04	   2.905551E+06	  -2.836424E+06	  -9.335436E+06	   4.818746E+05
    0.4700	  -2.449631E-01	   4.170482E+05	   3.700738E+04	   2.895912E+06	  -1.047336E+06	  -1.481477E+07	   5.816681E+05
    0.4800	  -2.472294E-01	   4.633227E+05	   8.140358E+04	   2.885689E+06	   1.947794E+05	  -1.638983E+07	   6.607861E+05
    0.4900	  -2.494958E-01	   3.197382E+05	   7.210685E+04	   2.876309E+06	  -1.034991E+05	  -1.239969E+07	   7.206219E+05
    0.5000	  -2.517621E-01	   4.001425E+04	   2.023286E+04	   2.869112E+06	  -1.623173E+06	  -4.402029E+06	   7.620236E+05
    0.5100	  -2.616434E-01	  -2.324486E+05	  -2.547811E+04	   2.865546E+06	  -2.947712E+06	   3.442457E+06	   7.859869E+05
    0.5200	  -2.715246E-01	  -3.749101E+05	  -1.514411E+04	   2.865852E+06	  -2.626099E+06	   7.546843E+06	   7.913864E+05
    0.5300	  -2.814059E-01	  -3.474408E+05	   6.627211E+04	   2.870118E+06	  -2.212827E+05	   6.744682E+06	   7.772730E+05
    0.5400	  -2.912871E-01	  -2.291995E+05	   1.883918E+05	   2.877864E+06	   3.381972E+06	   3.335129E+06	   7.447174E+05
    0.5500	  -3.011684E-01	  -1.531896E+05	   2.962686E+05	   2.888133E+06	   6.584893E+06	   1.181560E+06	   6.950000E+05
    0.5600	  -3.110496E-01	  -2.118918E+05	   3.492038E+05	   2.899587E+06	   8.205518E+06	   2.961875E+06	   6.312094E+05
    0.5700	  -3.209309E-01	  -4.029667E+05	   3.465706E+05	   2.910734E+06	   8.230422E+06	   8.591506E+06	   5.562911E+05
    0.5800	  -3.308122E-01	  -6.247499E+05	   3.244437E+05	   2.920150E+06	   7.714894E+06	   1.509410E+07	   4.741578E+05
    0.5900	  -3.406934E-01	  -7.507596E+05	   3.263737E+05	   2.926632E+06	   7.930055E+06	   1.877457E+07	   3.849368E+05
    0.6000	  -3.505747E-01	  -7.018195E+05	   3.695930E+05	   2.929326E+06	   9.377097E+06	   1.731892E+07	   2.910887E+05
    0.6100	  -3.604559E-01	  -5.107233E+05	   4.325754E+05	   2.927850E+06	   1.142464E+07	   1.167977E+07	   1.915150E+05
    0.6200	  -3.703372E-01	  -2.872378E+05	   4.704537E+05	   2.922368E+06	   1.275851E+07	   5.054803E+06	   8.922299E+04
    0.6300	  -3.802184E-01	  -1.538152E+05	   4.488803E+05	   2.913555E+06	   1.236944E+07	   1.014266E+06	  -1.272688E+04
    0.6400	  -3.900997E-01	  -1.601464E+05	   3.683734E+05	   2.902526E+06	   1.026320E+07	   1.012116E+06	  -1.140359E+05
    0.6500	  -3.999810E-01	  -2.559116E+05	   2.637249E+05	   2.890739E+06	   7.444352E+06	   3.592155E+06	  -2.070255E+05
    0.6600	  -4.098622E-01	  -3.237920E+05	   1.783725E+05	   2.879755E+06	   5.169745E+06	   5.348992E+06	  -2.890040E+05
    0.6700	  -4.197435E-01	  -2.729941E+05	   1.355999E+05	   2.871050E+06	   4.110210E+06	   3.653832E+06	  -3.514833E+05
    0.6800	  -4.296247E-01	  -9.273801E+04	   1.233779E+05	   2.865823E+06	   3.910058E+06	  -1.790676E+06	  -3.860651E+05
    0.6900	  -4.395060E-01	   1.358985E+05	   1.045069E+05	   2.864824E+06	   3.483162E+06	  -8.608198E+06	  -3.819515E+05
    0.7000	  -4.493873E-01	   2.990071E+05	   4.715093E+04	   2.868264E+06	   1.903865E+06	  -1.347075E+07	  -3.306667E+05
    0.7100	  -4.592685E-01	   3.197779E+05	  -5.342009E+04	   2.875786E+06	  -9.597943E+05	  -1.413609E+07	  -2.294385E+05
    0.7200	  -4.691498E-01	   2.094671E+05	  -1.695783E+05	   2.886532E+06	  -4.293498E+06	  -1.093196E+07	  -8.384852E+04
    0.7300	  -4.790310E-01	   5.461568E+04	  -2.647328E+05	   2.899218E+06	  -7.020556E+06	  -6.382620E+06	   9.073955E+04
    0.7400	  -4.889123E-01	  -3.947439E+04	  -3.161412E+05	   2.912308E+06	  -8.467324E+06	  -3.561600E+06	   2.753120E+05
    0.7500	  -4.987935E-01	  -2.400625E+04	  -3.321837E+05	   2.924205E+06	  -8.868110E+06	  -3.897756E+06	   4.467382E+05
    0.7600	  -5.105693E-01	   7.206768E+04	  -3.423327E+05	   2.933677E+06	  -9.073662E+06	  -6.540654E+06	   5.865649E+05
    0.7700	  -5.223451E-01	   1.517862E+05	  -3.756835E+05	   2.939370E+06	  -9.926515E+06	  -8.695067E+06	   6.819643E+05
    0.7800	  -5.341210E-01	   1.244300E+05	  -4.363218E+05	   2.940603E+06	  -1.154331E+07	  -7.730984E+06	   7.256579E+05
    0.7900	  -5.458968E-01	  -2.598839E+04	  -5.022259E+05	   2.937363E+06	  -1.328376E+07	  -3.196656E+06	   7.228886E+05
    0.8000	  -5.576726E-01	  -2.477229E+05	  -5.385626E+05	   2.930072E+06	  -1.413824E+07	   3.391464E+06	   6.734586E+05
    0.8100	  -5.694484E-01	  -4.337148E+05	  -5.231015E+05	   2.919721E+06	  -1.346797E+07	   8.908522E+06	   5.961309E+05
    0.8200	  -5.812242E-01	  -5.053027E+05	  -4.603872E+05	   2.907663E+06	  -1.141749E+07	   1.106163E+07	   5.002751E+05
    0.8300	  -5.929999E-01	  -4.570791E+05	  -3.761669E+05	   2.895472E+06	  -8.750356E+06	   9.696531E+06	   4.037668E+05
    0.8400	  -6.047758E-01	  -3.618590E+05	  -2.993641E+05	   2.884737E+06	  -6.322652E+06	   6.940820E+06	   3.175600E+05
    0.8500	  -6.165516E-01	  -3.097031E+05	  -2.413850E+05	   2.876873E+06	  -4.478526E+06	   5.424556E+06	   2.509557E+05
    0.8600	  -6.283274E-01	  -3.612111E+05	  -1.918647E+05	   2.872934E+06	  -2.925359E+06	   6.921950E+06	   2.020030E+05
    0.8700	  -6.401032E-01	  -4.882693E+05	  -1.285157E+05	   2.873414E+06	  -1.019770E+06	   1.062179E+07	   1.629512E+05
    0.8800	  -6.518790E-01	  -6.194109E+05	  -3.897900E+04	   2.878305E+06	   1.595177E+06	   1.445330E+07	   1.199280E+05
    0.8900	  -6.636548E-01	  -6.557913E+05	   6.757569E+04	   2.886974E+06	   4.652538E+06	   1.554539E+07	   5.914785E+04
    0.9000	  -6.754306E-01	  -5.715426E+05	   1.645396E+05	   2.898348E+06	   7.380632E+06	   1.315362E+07	  -3.064765E+04
    0.9100	  -6.872064E-01	  -4.072317E+05	   2.230100E+05	   2.911042E+06	   8.944016E+06	   8.465762E+06	  -1.500901E+05
    0.9200	  -6.989822E-01	  -2.482091E+05	   2.297316E+05	   2.923511E+06	   8.965260E+06	   3.967899E+06	  -2.947460E+05
    0.9300	  -7.107580E-01	  -1.667332E+05	   1.937459E+05	   2.934246E+06	   7.718064E+06	   1.759633E+06	  -4.490328E+05
    0.9400	  -7.225338E-01	  -1.824287E+05	   1.375143E+05	   2.941983E+06	   5.867065E+06	   2.404388E+06	  -5.953189E+05
    0.9500	  -7.343096E-01	  -2.474508E+05	   8.006058E+04	   2.945815E+06	   3.975355E+06	   4.498248E+06	  -7.156102E+05
    0.9600	  -7.460855E-01	  -2.804168E+05	   2.480594E+04	   2.945315E+06	   2.149300E+06	   5.659621E+06	  -7.954231E+05
    0.9700	  -7.578612E-01	  -2.250908E+05	  -3.943152E+04	   2.940610E+06	   6.727288E+04	   4.240567E+06	  -8.280241E+05
